Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.47,4.14,2.49,0.94,0.36,0.67,0.04,0
2.47,2.38,2.5,0.77,0.31,0.69,0.03,0
2.47,1.46,2.49,0.64,0.29,0.04,0.03,0
2.54,1.7,2.49,0.55,0.2,0.02,0.03,0
2.54,1.72,2.49,0.47,0.2,0.03,0.02,0
2.48,3.09,2.48,0.41,0.32,0.19,0.01,0
2.55,4.6,2.49,0.7,0.59,0.17,0.01,0.03
2.65,4.68,2.48,1.06,0.74,0.03,0.02,0.03
2.61,3.94,2.48,1.07,0.69,0.12,0.01,0
2.55,2.59,2.48,0.93,0.49,0.12,0.01,0.01
2.51,1.66,2.48,0.74,0.31,0.04,0.01,0.01
2.5,1.25,2.48,0.55,0.25,0.01,0.01,0
2.53,1.03,2.49,0.43,0.27,0.02,0.01,0
2.55,0.92,2.49,0.39,0.32,0.02,0.01,0
2.54,0.86,2.48,0.59,0.22,0.01,0.06,0.07
2.64,2.52,2.49,1.1,0.28,0.56,0.13,0.08
2.57,4.48,2.49,1.69,0.4,0.57,0.11,0.01
2.45,4.49,2.49,1.63,0.3,0.34,0.04,0.05
2.52,3.61,2.49,0.98,0.21,0.45,0.03,0.04
2.51,3.61,2.5,0.67,0.22,0.14,0.02,0
2.49,4.01,2.49,0.67,0.25,0.04,0.02,0
2.56,3.39,2.47,0.66,0.27,0.05,0.02,0
2.59,2.84,2.47,0.67,0.24,0.04,0.01,0
2.51,3.65,2.48,0.77,0.47,0.07,0.01,0.01
2.5,4.36,2.49,1.15,0.59,0.17,0.01,0.01
2.53,3.04,2.5,1.48,0.44,0.24,0.04,0.01
2.48,1.57,2.48,1.36,0.38,0.13,0.04,0.01
2.53,1.16,2.47,1,0.34,0.02,0.01,0.01
2.57,1.2,2.46,0.68,0.51,0.02,0.01,0
2.57,1.21,2.44,0.67,0.51,0.02,0.08,0.01
2.58,1.09,2.46,0.65,0.29,0.01,0.08,0.02
2.55,0.93,2.48,0.46,0.17,0.01,0.02,0
2.56,0.9,2.49,0.67,0.18,0.02,0.08,0.06
2.56,2.52,2.49,1.25,0.32,0.54,0.15,0.09
2.5,4,2.48,1.76,0.29,1.09,0.1,0.03
2.51,2.83,2.49,1.71,0.19,0.59,0.04,0.02
2.57,1.9,2.51,1.11,0.23,0.02,0.03,0.03
2.55,1.94,2.5,0.66,0.26,0.01,0.03,0.01
2.56,1.77,2.48,0.52,0.28,0.01,0.03,0
2.56,1.67,2.49,0.51,0.31,0.01,0.02,0
2.55,1.61,2.48,0.49,0.24,0.01,0.02,0
2.53,1.95,2.47,0.49,0.17,0.08,0.03,0.01
2.53,2.49,2.46,0.82,0.28,0.11,0.14,0.01
2.52,2.73,2.47,1.5,0.31,0.13,0.15,0.08
2.49,2.04,2.52,2.01,0.21,0.19,0.08,0.09
2.49,1.09,2.51,1.65,0.19,0.11,0.07,0.06
2.51,1.15,2.49,0.87,0.24,0.03,0.04,0.04
2.49,1.55,2.48,0.62,0.27,0.03,0.04,0.01
2.49,1.58,2.51,0.72,0.27,0.01,0.03,0
2.53,1.39,2.52,0.78,0.26,0.02,0.02,0
2.5,1.14,2.49,0.93,0.28,0.03,0.01,0.02
2.52,1.3,2.48,1.64,0.48,0.08,0.01,0.07
2.56,1.67,2.48,2.2,0.6,0.1,0.01,0.08
2.52,2.33,2.48,1.67,0.48,0.08,0.01,0.07
2.53,2.55,2.48,0.83,0.36,0.11,0.01,0.04
2.58,1.9,2.48,0.45,0.44,0.08,0.01,0.01
2.55,1.38,2.49,0.37,0.49,0.02,0.01,0
2.54,1.08,2.49,0.33,0.41,0.03,0.01,0
2.57,0.88,2.49,0.32,0.31,0.04,0,0
2.55,0.62,2.49,0.37,0.15,0.05,0.01,0
2.55,1.29,2.49,0.77,0.09,0.09,0.14,0.03
2.53,1.67,2.47,1.39,0.11,0.14,0.2,0.05
2.5,0.97,2.49,1.73,0.12,0.09,0.22,0.03
2.53,0.76,2.49,1.62,0.1,0,0.28,0.02
2.53,0.82,2.46,1.31,0.08,0,0.24,0.01
2.5,0.86,2.49,1.15,0.08,0,0.15,0
2.51,0.83,2.5,1.16,0.06,0,0.2,0.01
2.49,0.88,2.47,1.16,0.17,0.07,0.2,0.02
2.53,1.77,2.5,0.91,0.67,0.3,0.07,0.02
2.57,3.65,2.5,0.74,0.68,0.24,0.05,0.01
2.51,4.75,2.47,0.77,0.26,0.01,0.05,0.01
2.45,4.36,2.47,0.77,0.24,0.41,0.04,0
2.49,2.55,2.48,0.73,0.24,0.46,0.03,0
2.55,1.17,2.5,0.65,0.27,0.08,0.02,0
2.52,1.35,2.49,0.55,0.29,0.03,0.02,0
2.48,1.41,2.48,0.49,0.23,0.01,0.02,0
2.48,1.26,2.49,0.51,0.26,0.09,0.02,0.07
2.5,2.74,2.5,0.66,0.21,0.25,0.02,0.11
2.5,3.13,2.5,0.87,0.16,0.24,0,0.12
2.5,2.34,2.49,1.23,0.51,0.14,0.01,0.07
2.49,2.04,2.48,1.37,0.72,0.12,0.02,0.01
2.45,1.21,2.48,1.06,0.52,0.05,0.01,0.01
2.45,1.02,2.48,0.78,0.38,0.01,0.01,0.01
2.45,0.94,2.49,0.62,0.3,0,0.01,0
2.51,0.96,2.48,0.55,0.27,0.01,0.01,0
2.53,0.96,2.47,0.48,0.24,0.03,0.01,0
2.51,0.94,2.47,0.43,0.22,0.07,0.01,0
2.57,1.85,2.48,0.55,0.53,0.16,0.03,0.01
2.55,3.46,2.49,0.97,0.68,0.14,0.04,0.02
2.49,3.79,2.48,1.14,0.69,0.09,0.03,0.03
2.46,2.83,2.48,0.75,0.72,0.08,0.01,0.02
2.48,2.02,2.48,0.56,0.47,0.05,0.01,0
2.54,1.64,2.48,0.73,0.44,0.06,0.01,0
2.57,1.33,2.47,0.84,0.39,0.04,0.01,0
2.59,1.17,2.47,0.87,0.33,0.02,0.01,0
2.55,0.9,2.48,0.86,0.22,0.03,0.01,0
2.52,0.93,2.49,1.02,0.17,0.1,0,0.04
2.57,1.4,2.49,1.4,0.38,0.1,0.01,0.04
2.59,1.81,2.48,1.33,0.42,0.29,0.01,0.03
2.61,2.59,2.48,0.79,0.44,0.31,0.01,0.03
2.58,2.69,2.49,0.51,0.43,0.06,0.02,0
2.51,1.82,2.49,0.48,0.33,0.08,0.01,0
2.53,1.11,2.49,0.49,0.32,0.05,0.01,0
2.54,0.75,2.49,0.5,0.24,0.01,0,0
2.51,0.64,2.5,0.58,0.13,0.03,0.02,0.02
2.5,0.95,2.5,0.89,0.23,0.03,0.04,0.02
2.53,1.19,2.49,0.96,0.36,0.01,0.04,0.01
2.56,1.23,2.49,0.7,0.37,0.01,0.03,0.02
2.48,1.24,2.49,0.58,0.48,0.02,0.03,0.01
2.41,1.12,2.48,0.52,0.48,0.03,0.02,0.01
2.48,0.99,2.48,0.47,0.28,0.03,0.01,0
2.53,0.89,2.48,0.47,0.25,0.02,0.02,0
2.53,0.96,2.48,0.44,0.31,0.02,0.01,0
2.52,0.99,2.48,0.36,0.27,0.02,0.01,0
2.51,1.12,2.48,0.32,0.33,0.03,0,0
2.53,1.61,2.48,0.43,0.48,0.03,0.02,0
2.53,1.63,2.48,0.47,0.49,0.03,0.03,0
2.56,1.15,2.49,0.42,0.36,0.03,0.01,0
2.56,1.02,2.48,0.46,0.35,0.02,0.02,0.01
2.53,1.05,2.47,0.53,0.38,0.02,0.03,0.01
2.51,0.98,2.48,0.6,0.34,0.01,0.03,0.01
2.48,0.84,2.49,0.56,0.26,0.02,0.02,0.01
2.54,0.83,2.49,0.67,0.25,0.05,0.03,0.01
2.65,2.75,2.47,1.03,0.33,0.16,0.06,0.05
2.52,4.66,2.45,1.82,0.52,0.13,0.06,0.07
2.42,4.74,2.48,2.21,0.51,0,0.05,0.06
2.49,3.38,2.48,1.52,0.3,0.34,0.04,0.06
2.55,1.83,2.48,0.85,0.36,0.4,0.04,0.02
2.6,2,2.49,0.6,0.34,0.06,0.03,0
2.52,2.32,2.48,0.52,0.3,0.01,0.02,0
2.47,2.71,2.48,0.42,0.24,0.52,0.01,0
2.54,3.95,2.48,0.4,0.15,0.52,0.01,0
2.57,4.74,2.49,0.68,0.15,0.01,0.05,0.02
2.54,4.53,2.49,0.71,0.14,0.05,0.05,0.02
2.58,3.75,2.49,0.48,0.14,0.1,0.02,0
2.57,2.71,2.47,0.46,0.14,0.07,0.02,0
2.53,1.88,2.46,0.53,0.13,0.04,0.02,0
2.53,1.34,2.49,0.64,0.13,0.02,0.06,0.01
2.5,1.11,2.49,0.67,0.11,0,0.06,0.01
2.52,1.1,2.48,0.62,0.24,0.04,0.02,0.01
2.52,1.84,2.48,0.66,0.84,0.09,0.03,0.01
2.51,2.52,2.48,0.79,1,0.08,0.03,0.02
2.53,2.4,2.49,1.06,0.83,0.06,0.03,0.02
2.58,1.97,2.48,0.97,0.66,0.03,0.01,0.02
2.57,1.64,2.49,0.55,0.53,0.02,0.01,0.01
2.5,1.49,2.49,0.37,0.64,0.03,0.01,0
2.51,1.4,2.48,0.38,0.64,0.01,0.01,0
2.55,1.25,2.47,0.47,0.52,0.02,0.01,0
2.53,0.8,2.47,0.52,0.2,0.04,0.01,0
2.52,1.46,2.47,0.63,0.14,0.24,0.03,0.02
2.51,1.87,2.47,0.81,0.15,0.43,0.05,0.02
2.5,0.85,2.48,0.77,0.07,0.22,0.04,0.01
2.49,0.41,2.49,0.63,0.07,0.01,0.03,0.01
2.49,0.49,2.48,0.65,0.06,0,0.03,0
2.52,0.48,2.48,0.73,0.05,0,0.03,0
2.54,0.44,2.49,0.75,0.05,0,0.02,0
2.53,0.46,2.49,0.7,0.04,0,0.02,0
2.53,0.68,2.49,0.54,0.1,0.04,0.01,0
2.6,1.64,2.49,0.69,0.68,0.16,0.01,0.02
2.64,1.8,2.48,1.05,0.66,0.17,0.01,0.02
2.57,1.42,2.48,1.09,0.28,0.18,0.01,0
2.5,2.1,2.49,0.88,0.47,0.16,0.01,0.01
2.45,2.14,2.49,0.59,0.6,0.08,0,0.01
2.47,1.34,2.49,0.35,0.46,0.06,0,0
2.52,0.89,2.49,0.33,0.26,0.03,0,0
2.54,0.76,2.49,0.36,0.23,0.02,0,0
2.54,0.51,2.49,0.34,0.1,0.02,0,0
2.51,0.88,2.48,0.5,0.08,0.16,0.04,0.02
2.53,1.51,2.47,0.82,0.09,0.23,0.07,0.03
2.51,1.13,2.46,1.16,0.06,0.09,0.16,0.02
2.47,0.75,2.49,1.35,0.15,0.01,0.22,0.01
2.47,0.95,2.52,1.28,0.18,0.01,0.23,0.01
2.5,1.09,2.5,1.11,0.17,0.01,0.25,0.01
2.52,1,2.49,1.05,0.15,0.01,0.18,0.01
2.51,0.79,2.48,0.97,0.08,0,0.12,0.02
2.52,1.06,2.47,0.77,0.43,0.08,0.05,0.01
2.59,1.63,2.48,0.93,0.8,0.1,0.01,0.02
2.6,1.63,2.48,1.39,0.71,0.04,0.01,0.02
2.62,1.97,2.49,1.44,0.53,0.17,0.01,0.01
2.56,2.28,2.49,1.14,0.37,0.26,0.01,0.01
2.5,1.64,2.48,0.83,0.31,0.15,0.01,0.01
2.53,1.06,2.48,0.57,0.3,0.05,0.01,0.01
2.52,0.81,2.48,0.41,0.27,0.01,0,0
2.52,0.69,2.48,0.32,0.18,0.01,0,0
2.52,0.66,2.48,0.51,0.14,0.03,0.03,0.06
2.56,0.86,2.49,0.91,0.25,0.03,0.05,0.06
2.58,1.16,2.5,0.99,0.39,0.02,0.05,0.01
2.57,1.22,2.48,0.78,0.39,0.01,0.05,0
2.57,1.12,2.48,0.59,0.45,0.01,0.03,0
2.55,1.14,2.5,0.56,0.52,0.02,0.03,0
2.55,1.12,2.48,0.56,0.51,0.02,0.03,0
2.55,1.11,2.47,0.57,0.45,0.02,0.03,0
2.54,1.02,2.47,0.55,0.31,0.01,0.02,0.01
2.52,0.85,2.48,0.5,0.21,0.01,0.02,0.01
2.54,1.05,2.47,0.67,0.17,0.31,0.02,0.07
2.6,3.02,2.45,1.89,0.4,0.3,0.05,0.17
2.48,4.74,2.45,2.67,0.43,0.01,0.06,0.27
2.4,4.7,2.49,1.62,0.22,0.03,0.03,0.2
2.48,3.37,2.5,0.65,0.23,0.11,0.02,0.04
2.53,2.23,2.49,0.51,0.22,0.08,0.01,0
2.58,2.06,2.48,0.52,0.17,0.03,0.01,0
2.51,2.25,2.48,0.56,0.12,1.26,0.01,0
2.45,3.75,2.48,0.71,0.15,1.26,0.06,0.05
2.45,4.74,2.46,1.2,0.23,0.03,0.16,0.09
2.45,4.67,2.41,1.44,0.37,0.03,0.17,0.03
2.46,4.13,2.46,1.21,0.4,0.05,0.12,0.01
2.49,3.23,2.5,0.99,0.29,0.06,0.12,0.01
2.55,2.32,2.46,0.79,0.22,0.07,0.1,0
2.55,1.58,2.48,0.69,0.17,0.05,0.07,0
2.58,1.24,2.5,0.66,0.13,0.01,0.05,0
2.58,1.03,2.49,0.65,0.06,0.01,0.02,0
2.53,0.87,2.49,0.84,0.14,0.01,0.01,0.02
2.59,2.33,2.49,1.12,0.45,0.75,0.03,0.03
2.53,4.28,2.49,0.99,0.45,0.75,0.03,0.01
2.48,3.86,2.49,0.7,0.28,0.64,0.03,0.01
2.53,2.43,2.48,0.62,0.31,0.65,0.03,0
2.56,2.1,2.48,0.6,0.29,0.03,0.02,0
2.56,2.29,2.48,0.72,0.27,0.01,0.1,0.03
2.53,2.04,2.47,0.88,0.25,0.02,0.13,0.03
2.54,1.84,2.47,0.88,0.17,0.19,0.05,0.01
2.54,3.2,2.48,0.68,0.1,0.21,0.01,0.01
2.56,4.24,2.48,0.82,0.13,0.04,0.02,0.01
2.57,3.33,2.48,0.9,0.23,0.11,0.02,0.01
2.52,2.24,2.49,0.65,0.23,0.11,0.02,0.01
2.53,1.64,2.48,0.62,0.2,0.02,0.01,0
2.56,1.4,2.47,0.61,0.22,0.01,0.01,0
2.52,1.16,2.48,0.52,0.15,0.01,0.01,0
2.53,0.93,2.48,0.39,0.08,0,0.01,0
2.54,0.79,2.47,0.32,0.07,0,0.01,0
2.51,1.1,2.48,0.36,0.34,0.06,0,0
2.53,1.58,2.49,0.6,0.59,0.1,0.01,0.01
2.55,1.58,2.49,0.81,0.51,0.06,0.01,0.01
2.56,1.73,2.48,0.78,0.45,0.02,0,0
2.57,1.67,2.48,0.58,0.37,0.03,0,0.01
2.57,1.16,2.49,0.36,0.31,0.02,0,0
2.5,0.94,2.48,0.27,0.31,0.01,0,0
2.51,0.89,2.49,0.29,0.37,0.02,0,0
2.57,0.85,2.48,0.27,0.3,0.02,0,0
2.55,0.64,2.49,0.32,0.12,0.01,0.01,0.02
2.54,0.79,2.5,0.61,0.3,0.03,0.04,0.02
2.47,1.34,2.48,0.88,0.67,0.04,0.07,0.02
2.44,1.44,2.48,0.75,0.63,0.03,0.05,0.02
2.51,1.26,2.49,0.53,0.45,0.02,0.02,0
2.5,1.18,2.48,0.48,0.5,0.02,0.02,0
2.54,1.04,2.48,0.46,0.42,0.02,0.01,0
2.56,1,2.48,0.49,0.34,0.03,0.02,0
2.49,1.11,2.49,0.53,0.4,0.03,0.02,0
2.5,0.84,2.49,0.57,0.23,0.03,0.02,0.01
2.55,0.81,2.48,0.58,0.23,0.11,0.04,0.01
2.57,1.15,2.48,0.68,0.26,0.13,0.04,0.01
2.51,0.97,2.48,0.85,0.1,0.05,0.03,0.02
2.49,0.66,2.49,0.68,0.08,0.01,0.01,0.01
2.51,0.58,2.49,0.46,0.07,0,0.01,0
2.49,0.56,2.49,0.47,0.08,0,0.01,0
2.51,0.55,2.49,0.5,0.08,0,0.01,0
2.52,0.49,2.49,0.47,0.07,0,0.01,0
2.51,0.42,2.48,0.4,0.06,0.02,0.01,0
2.57,0.84,2.48,0.47,0.3,0.22,0.01,0.01
2.61,1.69,2.48,0.7,0.72,0.24,0.01,0.01
2.56,2.21,2.49,0.66,1.08,0.07,0.01,0.01
2.5,1.99,2.49,0.44,0.89,0.05,0.01,0.01
2.45,1.56,2.48,0.45,0.65,0.02,0.01,0
2.45,1.41,2.48,0.5,0.79,0.02,0.01,0
2.52,1.31,2.49,0.48,0.73,0.03,0.01,0
2.56,1.1,2.49,0.45,0.53,0.04,0,0
2.56,0.89,2.49,0.36,0.23,0.07,0,0
2.52,0.91,2.49,0.28,0.04,0.08,0,0
2.48,0.82,2.49,0.48,0.09,0.04,0.05,0.02
2.47,0.72,2.5,0.92,0.27,0.01,0.13,0.02
2.52,0.75,2.5,1.2,0.27,0.01,0.11,0
2.55,0.77,2.49,1.06,0.21,0.01,0.03,0.02
2.56,0.83,2.5,0.68,0.25,0.02,0.02,0.02
2.54,0.79,2.5,0.45,0.21,0.02,0.01,0
2.49,0.66,2.49,0.42,0.21,0.02,0.01,0
2.51,0.41,2.48,0.47,0.12,0.02,0,0
2.54,0.29,2.48,0.6,0.06,0.01,0.01,0.01
2.53,0.35,2.49,0.67,0.08,0.01,0.01,0.02
2.51,0.32,2.49,0.64,0.07,0,0.02,0.01
2.49,0.28,2.49,0.63,0.08,0,0.02,0
2.51,0.27,2.49,0.64,0.06,0,0.01,0
2.52,0.25,2.48,0.57,0.04,0,0.01,0
2.5,0.25,2.48,0.48,0.05,0,0.01,0
2.51,0.25,2.48,0.39,0.07,0,0.01,0
2.51,0.83,2.5,0.59,0.27,0.02,0.09,0.09
2.49,1.03,2.51,0.91,0.28,0.04,0.11,0.1
2.52,0.49,2.5,0.97,0.08,0.02,0.06,0.03
2.52,0.28,2.49,1.12,0.05,0,0.06,0.01
2.52,0.25,2.48,1.33,0.05,0,0.08,0.01
2.53,0.29,2.47,1.39,0.05,0,0.18,0.01
2.53,0.32,2.48,1.4,0.04,0,0.21,0.01
2.53,0.29,2.49,1.34,0.02,0,0.13,0.01
2.52,0.55,2.5,0.98,0.16,0.08,0.07,0.01
2.53,1.56,2.49,0.72,0.43,0.75,0.04,0.02
2.52,3.5,2.48,0.77,0.47,0.69,0.06,0.02
2.5,4.53,2.49,0.7,0.35,0.22,0.05,0.01
2.5,2.93,2.48,0.6,0.28,0.34,0.03,0
2.49,1.38,2.48,0.6,0.24,0.14,0.02,0
2.51,1.25,2.48,0.56,0.24,0.01,0.02,0
2.53,1.15,2.48,0.47,0.2,0.01,0.01,0
2.53,0.89,2.48,0.43,0.19,0.01,0.01,0
2.5,0.72,2.49,0.46,0.15,0.02,0.01,0
2.49,1.61,2.49,0.53,0.14,0.15,0.01,0
2.49,2.51,2.5,0.67,0.25,0.19,0.03,0.01
2.52,2.01,2.5,0.71,0.24,0.07,0.04,0
2.55,1.28,2.48,0.57,0.1,0.03,0.02,0
2.53,0.83,2.49,0.48,0.05,0.01,0.01,0
2.5,0.6,2.49,0.5,0.07,0,0.01,0
2.49,0.49,2.48,0.54,0.07,0,0.01,0
2.51,0.42,2.48,0.59,0.06,0,0.01,0
2.53,0.49,2.49,0.63,0.25,0.14,0.01,0
2.52,1.56,2.49,0.85,0.91,0.16,0.02,0.02
2.54,2.48,2.48,1.01,1.27,0.08,0.03,0.04
2.58,1.93,2.48,0.72,0.91,0.06,0.02,0.03
2.59,1.39,2.48,0.44,0.7,0.02,0.01,0
2.56,1.25,2.48,0.36,0.51,0.02,0.01,0
2.51,1.14,2.48,0.34,0.45,0.02,0.01,0
2.48,1.1,2.49,0.32,0.47,0.02,0,0
2.49,0.99,2.48,0.31,0.3,0.01,0,0
2.54,0.74,2.49,0.35,0.2,0.02,0.01,0
2.55,0.76,2.49,0.46,0.13,0.05,0.02,0.01
2.56,0.94,2.48,0.63,0.11,0.04,0.04,0.01
2.57,0.92,2.49,1,0.06,0.03,0.08,0.02
2.54,0.64,2.49,1.11,0.05,0.03,0.08,0.01
2.52,0.36,2.49,0.84,0.06,0,0.03,0.01
2.53,0.32,2.48,0.7,0.06,0,0.03,0.01
2.55,0.32,2.48,0.66,0.06,0,0.03,0
2.54,0.34,2.49,0.63,0.05,0,0.02,0
2.51,0.45,2.48,0.64,0.09,0.05,0.04,0.04
2.5,1.03,2.47,0.73,0.42,0.07,0.04,0.04
2.56,3.02,2.47,0.78,0.46,0.17,0.05,0.01
2.51,4.65,2.49,0.76,0.21,0.15,0.06,0.01
2.49,4.48,2.5,0.69,0.25,0.25,0.04,0
2.53,2.77,2.5,0.63,0.22,0.37,0.03,0
2.49,1.18,2.48,0.56,0.19,0.14,0.03,0
2.5,1.13,2.48,0.47,0.21,0.01,0.02,0
2.53,1.2,2.48,0.43,0.17,0,0.01,0
2.54,2.17,2.49,0.43,0.22,0.96,0.01,0
2.57,3.97,2.5,0.6,0.24,0.98,0.03,0
2.61,4.53,2.5,0.8,0.5,0.12,0.05,0
2.55,3.67,2.5,0.86,0.58,0.12,0.05,0
2.49,2.81,2.49,0.83,0.43,0.03,0.04,0
2.52,2.49,2.48,0.8,0.59,0.02,0.04,0
2.55,2.23,2.47,0.76,0.51,0.02,0.07,0
2.54,1.96,2.48,0.74,0.29,0.02,0.08,0
2.53,1.66,2.5,0.8,0.16,0.01,0.1,0.01
2.53,1.37,2.52,0.86,0.06,0.01,0.1,0.01
2.53,1.22,2.49,0.86,0.19,0.03,0.08,0.02
2.53,0.97,2.48,0.86,0.22,0.04,0.08,0.01
2.57,0.64,2.49,0.84,0.11,0.02,0.06,0
2.56,0.44,2.48,0.73,0.09,0,0.04,0
2.52,0.35,2.49,0.55,0.08,0,0.02,0
2.55,0.31,2.49,0.49,0.05,0,0.01,0
2.55,0.28,2.48,0.54,0.05,0,0.01,0
2.52,0.25,2.48,0.6,0.04,0,0.01,0
2.51,0.21,2.48,0.7,0.03,0,0.01,0
2.51,1,2.46,1.49,0.52,0.48,0.38,0.27
2.53,1.25,2.47,1.79,0.54,0.51,0.41,0.47
2.53,0.56,2.47,1.22,0.06,0.02,0.15,0.21
2.52,0.41,2.48,1.2,0.07,0,0.26,0.03
2.53,0.37,2.48,1.29,0.05,0,0.2,0.02
2.53,0.35,2.48,1.07,0.03,0,0.1,0.01
2.51,0.32,2.49,0.72,0.02,0,0.05,0.01
2.52,0.28,2.49,0.62,0.01,0,0.02,0
2.55,0.32,2.48,0.69,0.11,0.08,0.03,0.01
2.61,1.31,2.47,0.58,0.63,0.12,0.02,0.01
2.57,2.12,2.48,0.5,0.99,0.05,0.01,0
2.51,1.74,2.49,0.47,0.64,0.04,0.01,0
2.55,1.53,2.49,0.45,0.49,0.03,0.01,0
2.63,1.38,2.5,0.53,0.45,0.02,0.01,0
2.59,1.06,2.5,0.53,0.33,0.01,0.01,0
2.53,0.88,2.49,0.48,0.29,0.01,0.01,0
2.56,0.91,2.49,0.42,0.28,0.01,0.01,0
2.52,0.9,2.49,0.35,0.37,0.02,0,0
2.49,0.72,2.49,0.41,0.34,0.06,0.02,0.02
2.51,0.76,2.49,0.78,0.19,0.06,0.05,0.03
2.53,0.76,2.48,1,0.03,0.02,0.05,0.01
2.53,0.7,2.5,0.96,0.03,0.01,0.03,0
2.51,0.55,2.5,0.91,0.03,0.01,0.03,0
2.52,0.27,2.49,0.77,0.03,0,0.03,0
2.51,0.2,2.48,0.6,0.03,0,0.02,0
2.51,0.17,2.47,0.48,0.03,0,0.01,0
2.53,0.52,2.48,0.51,0.37,0.23,0.03,0.01
2.52,1.3,2.5,0.74,0.83,0.25,0.03,0.01
2.46,1.83,2.49,0.85,0.89,0.05,0.02,0.02
2.49,1.85,2.48,0.64,0.73,0.05,0.01,0.01
2.55,1.55,2.49,0.42,0.56,0.04,0.01,0
2.51,1.23,2.49,0.39,0.54,0.03,0.01,0
2.51,1,2.48,0.39,0.39,0.02,0.01,0
2.57,0.89,2.49,0.39,0.24,0.01,0.01,0
2.59,0.85,2.49,0.44,0.18,0.02,0.01,0
2.64,2.03,2.49,0.8,0.28,1.57,0.07,0.03
2.57,3.99,2.48,1,0.5,1.59,0.09,0.03
2.47,4.74,2.47,0.75,0.36,0.03,0.06,0
2.49,3.34,2.47,0.58,0.17,0.27,0.03,0
2.52,1.78,2.48,0.5,0.15,0.28,0.02,0
2.54,1.63,2.48,0.45,0.16,0.02,0.03,0
2.57,1.41,2.47,0.44,0.15,0.03,0.02,0
2.61,1.6,2.49,0.47,0.18,0.29,0.02,0
2.55,2.07,2.49,0.47,0.17,0.37,0.02,0
2.51,3.12,2.49,0.45,0.08,0.36,0.01,0
2.53,4.22,2.49,0.6,0.19,0.28,0.01,0.02
2.54,3.62,2.48,0.95,0.39,0.39,0.01,0.02
2.55,2.36,2.49,1.09,0.42,0.39,0.02,0.01
2.48,1.49,2.49,0.94,0.46,0.02,0.02,0.01
2.47,1.3,2.48,0.7,0.43,0.01,0.01,0.01
2.51,1.29,2.48,0.5,0.37,0.01,0.01,0
2.47,1.14,2.48,0.4,0.37,0.01,0.01,0
2.49,1.05,2.48,0.37,0.28,0.01,0.01,0
2.51,1.02,2.48,0.37,0.18,0.02,0.01,0
2.48,1.97,2.44,0.61,0.3,0.5,0.13,0.03
2.51,3,2.41,0.91,0.39,0.57,0.21,0.03
2.51,2.34,2.45,0.82,0.27,0.13,0.1,0.01
2.48,1.5,2.5,0.55,0.26,0.04,0.03,0.01
2.51,1.45,2.5,0.48,0.33,0.01,0.02,0
2.54,1.44,2.48,0.65,0.24,0.01,0.02,0.01
2.52,1.27,2.49,0.8,0.17,0.01,0.02,0
2.53,0.98,2.49,0.84,0.12,0.02,0.01,0
2.53,0.64,2.49,0.84,0.09,0.02,0.01,0
2.51,0.59,2.49,0.85,0.12,0.02,0.02,0
2.52,0.77,2.48,0.76,0.07,0.01,0.03,0.01
2.52,0.76,2.48,0.78,0.06,0,0.02,0
2.51,0.62,2.48,0.89,0.08,0,0.02,0
2.51,0.52,2.49,0.82,0.07,0,0.02,0
2.5,0.47,2.48,0.66,0.06,0,0.01,0
2.5,0.42,2.48,0.52,0.06,0,0.01,0
2.52,0.38,2.48,0.43,0.04,0,0.01,0
2.53,0.32,2.49,0.37,0.04,0,0.01,0
2.52,1.15,2.49,0.39,0.58,0.13,0.01,0.01
2.52,2.03,2.48,0.72,1.03,0.15,0.01,0.02
2.55,2.03,2.48,1.12,0.8,0.04,0.01,0.01
2.56,2.32,2.48,1.18,0.73,0.03,0.01,0
2.53,2.19,2.48,0.95,0.57,0.08,0.01,0.01
2.47,1.38,2.49,0.63,0.36,0.08,0,0.01
2.48,0.97,2.48,0.4,0.35,0.01,0,0
2.5,0.83,2.51,0.32,0.28,0.02,0.03,0.02
2.51,1.1,2.52,0.9,0.15,0.19,0.22,0.06
2.52,1.64,2.57,2.18,0.12,0.26,0.73,0.15
2.55,1.21,2.61,3.11,0.15,0.11,1.15,0.46
2.54,0.49,2.47,3.15,0.1,0.02,1.16,0.37
2.52,0.41,2.35,2.68,0.07,0,0.96,0.04
2.52,0.45,2.36,2.55,0.06,0,1.23,0.05
2.52,0.43,2.43,2.69,0.05,0,1.36,0.06
2.53,0.4,2.53,2.61,0.03,0,1.11,0.04
2.52,0.41,2.53,2.25,0.05,0.01,0.82,0.07
2.53,1.38,2.49,1.43,0.71,0.18,0.28,0.07
2.55,2.39,2.48,0.91,1.5,0.18,0.04,0.02
2.53,2.2,2.48,0.72,1.14,0.05,0.03,0.01
2.5,1.83,2.48,0.57,0.77,0.08,0.02,0
2.54,1.48,2.47,0.59,0.71,0.05,0.02,0
2.59,1.18,2.48,0.55,0.51,0.02,0.01,0
2.57,1.15,2.49,0.44,0.51,0.02,0.01,0
2.52,1.01,2.49,0.39,0.54,0.02,0.01,0
2.53,0.71,2.48,0.41,0.32,0.03,0.01,0
2.52,1.04,2.46,0.7,0.18,0.05,0.09,0.02
2.48,1.93,2.47,0.86,0.25,0.13,0.11,0.02
