Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
0.31,1.21,0.14,0.71,
0.27,1.14,0.09,0.58,
0.23,1.11,0.09,0.43,
0.21,1.18,0.09,0.57,
0.3,1.32,0.31,0.76,
0.95,1.09,1.64,0.51,S
1.46,0.99,1.91,0.57,S
1.38,1.1,0.89,0.69,S
1.24,1.02,0.63,0.49,
0.96,0.95,0.42,0.46,
0.69,0.87,0.3,0.45,
0.56,0.8,0.31,0.54,
0.44,0.75,0.24,0.47,
0.39,0.75,0.23,0.32,
0.43,0.73,0.28,0.21,
0.44,0.7,0.29,0.3,
0.45,0.71,0.34,0.31,
0.42,0.61,0.28,0.13,
0.59,0.88,0.2,0.39,
0.89,1.27,0.14,0.61,R
0.8,1.43,0.07,0.57,R
0.5,1.55,0.09,0.58,
0.32,1.43,0.11,0.53,
0.25,1.33,0.1,0.5,
0.22,1.24,0.08,0.54,
0.22,1.09,0.1,0.47,
0.23,1.03,0.1,0.51,
0.22,1.07,0.1,0.66,
0.22,1.1,0.1,0.62,
0.67,1.03,1.1,0.41,S
1.33,1.08,1.95,0.67,S
1.44,1.08,1.22,0.84,S
1.21,0.97,0.57,0.49,
0.96,0.92,0.53,0.32,
0.75,0.88,0.52,0.32,
0.62,0.87,0.43,0.3,
0.51,0.82,0.35,0.29,
0.45,0.81,0.34,0.38,
0.45,0.8,0.38,0.47,
0.44,0.78,0.28,0.57,
0.43,0.77,0.33,0.6,
0.47,0.75,0.33,0.6,
0.56,0.64,0.48,0.31,
0.86,0.58,0.63,0.06,P
0.86,0.66,0.43,0.07,P
0.57,0.73,0.31,0.14,
0.5,0.76,0.28,0.19,
0.45,0.73,0.23,0.14,
0.43,0.73,0.25,0.11,
0.54,0.76,0.49,0.11,
0.61,0.74,0.53,0.12,
0.57,0.71,0.41,0.11,
0.5,0.68,0.33,0.09,
0.46,0.65,0.26,0.12,
0.45,0.59,0.29,0.09,
0.37,0.51,0.22,0.03,
0.47,0.85,0.21,0.36,
0.81,1.39,0.21,0.68,R
0.86,1.8,0.13,0.71,R
0.61,2.01,0.16,0.71,R
0.42,1.8,0.12,0.58,
0.34,1.61,0.11,0.56,
0.29,1.4,0.11,0.5,
0.22,1.12,0.08,0.28,
0.21,0.98,0.07,0.27,
0.23,0.93,0.06,0.73,
0.21,1.11,0.06,0.85,
0.3,1.34,0.42,0.97,
0.78,1.19,0.93,1.01,
1.22,1.08,0.84,0.74,S
1.35,1.22,0.68,1.02,S
1.18,1.15,0.67,0.79,S
0.87,1.01,0.46,0.43,
0.65,0.88,0.26,0.51,
0.58,0.85,0.38,0.48,
0.61,0.92,0.56,0.54,
0.59,0.96,0.39,0.56,
0.54,0.91,0.33,0.37,
0.51,0.86,0.36,0.25,
0.46,0.82,0.3,0.27,
0.44,0.73,0.34,0.29,
0.54,0.64,0.69,0.23,
0.89,0.64,0.96,0.11,P
1.01,0.63,1.1,0.06,P
0.75,0.59,0.79,0.04,P
0.56,0.6,0.36,0.05,
