raw extension,env ext,raw flex,env flex
2.81,0.18,2.64,0.54
2.86,0.18,2.61,0.52
3.03,0.2,2.59,0.51
2.78,0.23,2.51,0.5
2.59,0.23,2.5,0.51
2.55,0.27,2.54,0.54
2.98,0.29,2.54,0.56
2.92,0.29,2.63,0.57
2.83,0.28,2.56,0.57
2.82,0.27,2.61,0.58
2.85,0.27,2.6,0.58
2.81,0.26,2.56,0.58
2.83,0.25,2.58,0.59
2.89,0.26,2.56,0.6
2.8,0.26,2.64,0.61
2.7,0.26,2.71,0.59
2.73,0.26,2.56,0.57
2.86,0.26,2.57,0.57
2.83,0.26,2.5,0.59
2.83,0.25,2.63,0.61
2.82,0.25,2.56,0.62
2.8,0.24,2.62,0.62
2.88,0.23,2.6,0.62
2.87,0.24,2.54,0.61
2.81,0.25,2.64,0.6
2.69,0.25,2.56,0.6
2.77,0.26,2.45,0.62
2.77,0.26,2.64,0.64
2.88,0.26,2.6,0.64
2.83,0.25,2.61,0.64
2.8,0.25,2.65,0.63
2.84,0.24,2.6,0.61
2.81,0.24,2.57,0.59
2.81,0.23,2.58,0.57
2.83,0.23,2.5,0.56
2.82,0.22,2.48,0.57
2.82,0.22,2.55,0.6
2.82,0.21,2.57,0.63
2.83,0.21,2.59,0.65
2.83,0.2,2.6,0.66
2.82,0.2,2.59,0.66
2.84,0.19,2.6,0.67
2.82,0.19,2.6,0.67
2.83,0.19,2.63,0.67
2.86,0.19,2.59,0.67
3.01,0.21,2.61,0.68
2.95,0.25,2.57,0.67
2.58,0.28,2.59,0.67
2.33,0.29,2.57,0.68
2.62,0.35,2.5,0.68
3.07,0.38,2.51,0.71
2.92,0.37,2.57,0.74
2.85,0.36,2.61,0.76
2.83,0.35,2.64,0.77
2.81,0.33,2.61,0.75
2.82,0.33,2.6,0.73
2.81,0.31,2.53,0.72
2.81,0.3,2.54,0.71
2.83,0.3,2.53,0.71
2.81,0.29,2.61,0.71
2.81,0.28,2.58,0.71
2.82,0.27,2.57,0.7
2.82,0.26,2.5,0.71
2.81,0.26,2.59,0.71
2.81,0.25,2.61,0.72
2.82,0.24,2.57,0.72
2.83,0.24,2.61,0.71
2.81,0.23,2.56,0.72
2.81,0.23,2.51,0.72
2.81,0.22,2.62,0.72
2.81,0.22,2.59,0.71
2.81,0.21,2.55,0.71
2.84,0.21,2.6,0.71
2.79,0.21,2.61,0.7
2.85,0.2,2.6,0.69
2.79,0.2,2.62,0.67
2.81,0.2,2.49,0.66
2.81,0.19,2.48,0.67
2.87,0.19,2.58,0.7
2.81,0.18,2.61,0.72
2.83,0.19,2.61,0.72
2.89,0.19,2.61,0.71
2.83,0.18,2.64,0.69
2.73,0.19,2.52,0.69
2.84,0.19,2.54,0.71
2.83,0.19,2.57,0.72
2.81,0.18,2.56,0.74
2.8,0.18,2.6,0.76
2.81,0.17,2.58,0.77
2.83,0.17,2.6,0.77
2.79,0.17,2.61,0.76
2.82,0.17,2.66,0.74
2.83,0.17,2.61,0.71
2.83,0.17,2.54,0.7
2.8,0.17,2.49,0.69
2.81,0.17,2.49,0.71
2.82,0.16,2.57,0.73
2.82,0.16,2.61,0.74
2.83,0.16,2.59,0.75
2.82,0.16,2.62,0.75
2.84,0.16,2.62,0.73
2.86,0.16,2.62,0.71
2.74,0.17,2.57,0.68
2.76,0.17,2.59,0.66
2.83,0.17,2.39,0.67
2.76,0.17,2.52,0.71
2.85,0.17,2.61,0.73
2.83,0.17,2.56,0.74
2.8,0.17,2.6,0.76
2.81,0.16,2.59,0.77
2.81,0.16,2.58,0.78
2.82,0.16,2.59,0.78
2.83,0.16,2.61,0.78
2.81,0.16,2.6,0.77
2.81,0.16,2.57,0.77
2.84,0.16,2.54,0.77
2.79,0.16,2.55,0.79
2.83,0.15,2.55,0.81
2.83,0.15,2.56,0.83
2.8,0.15,2.6,0.86
2.83,0.15,2.66,0.87
2.81,0.15,2.67,0.85
2.82,0.15,2.63,0.83
2.8,0.16,2.72,0.8
2.82,0.16,2.61,0.78
2.84,0.16,2.41,0.76
2.79,0.16,2.42,0.79
2.82,0.16,2.53,0.83
2.79,0.16,2.6,0.85
2.81,0.16,2.63,0.86
2.8,0.15,2.63,0.85
2.83,0.15,2.58,0.85
2.81,0.16,2.68,0.83
2.86,0.16,2.68,0.81
2.84,0.17,2.57,0.78
2.73,0.17,2.49,0.77
2.79,0.17,2.44,0.8
2.82,0.16,2.47,0.87
2.81,0.17,2.66,0.91
2.92,0.18,2.73,0.92
2.88,0.19,2.65,0.89
2.51,0.22,2.45,0.9
2.87,0.22,2.56,0.92
2.87,0.22,2.55,0.95
2.81,0.22,2.53,0.98
2.83,0.22,2.45,1.03
2.94,0.22,2.61,1.09
2.85,0.23,2.72,1.11
2.82,0.23,2.82,1.09
2.78,0.23,2.66,1.05
2.83,0.23,2.41,1.02
2.86,0.23,2.35,1.05
2.83,0.22,2.39,1.11
2.8,0.22,2.55,1.2
2.83,0.22,2.67,1.27
2.82,0.22,2.64,1.29
2.85,0.21,2.59,1.32
2.78,0.21,2.61,1.34
2.82,0.2,2.62,1.37
2.83,0.2,2.73,1.36
2.87,0.2,2.64,1.31
2.85,0.21,2.54,1.28
2.86,0.21,2.35,1.28
2.72,0.21,2.59,1.31
2.72,0.21,2.77,1.3
2.75,0.22,2.63,1.26
2.96,0.23,2.63,1.25
2.84,0.23,2.77,1.2
2.83,0.22,2.49,1.17
2.8,0.22,2.12,1.24
2.96,0.22,2.76,1.31
2.89,0.25,3.21,1.3
2.67,0.28,2.7,1.33
2.33,0.34,1.75,1.34
3.04,0.35,1.77,1.59
2.75,0.35,2.62,1.83
2.88,0.35,2.97,1.96
2.95,0.35,2.94,1.94
2.69,0.34,2.63,1.9
2.88,0.34,2.51,1.9
2.75,0.33,2.25,1.94
2.79,0.34,2.59,2.03
2.86,0.34,2.52,2.13
2.83,0.33,2.55,2.24
2.87,0.32,2.3,2.37
2.81,0.31,2.53,2.53
2.82,0.31,2.52,2.68
2.83,0.3,2.6,2.83
2.84,0.3,2.55,2.96
2.83,0.29,2.64,3.08
2.71,0.29,2.61,3.18
2.84,0.29,2.91,3.25
2.81,0.28,2.5,3.26
2.82,0.28,2.44,3.32
2.78,0.28,2.29,3.42
2.93,0.27,2.61,3.58
2.89,0.28,2.8,3.68
2.91,0.28,2.97,3.66
