Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture,,,,,1,2,3,4
0.64,0.95,0.72,0.56,R,,,,,0.25,0.82,0.09,0.23
0.58,1,0.56,0.68,,,,,,0.21,0.79,0.08,0.23
0.56,0.97,0.57,0.58,,,,,,0.36,0.68,0.64,0.25
0.55,0.93,0.42,0.41,,,,,,1.41,0.68,3.23,0.3
0.62,0.97,0.46,0.37,,,,,,2.59,0.84,4.28,0.39
0.59,0.86,0.5,0.23,,,,,,2.46,0.89,2.82,0.4
0.67,1.06,0.31,0.43,,,,,,1.86,0.73,2.03,0.2
0.9,1.51,0.14,1.26,S,,,,,1.81,0.69,2.13,0.26
0.89,1.94,0.22,1.83,S,,,,,1.72,0.73,2.1,0.29
0.68,2.04,0.32,1.42,S,,,,,1.4,0.71,1.57,0.21
0.54,1.68,0.27,1.08,S,,,,,1.22,0.71,1.5,0.27
0.47,1.52,0.25,1.27,S,,,,,1.24,0.72,1.25,0.3
0.4,1.54,0.2,1.21,S,,,,,1.38,0.67,1.16,0.24
0.35,1.47,0.11,1.15,S,,,,,1.44,0.67,1.67,0.19
0.36,1.33,0.17,1.03,,,,,,1.18,0.63,1.13,0.16
0.38,1.29,0.24,0.8,,,,,,0.85,0.83,0.54,0.68
0.37,1.27,0.24,0.69,,,,,,0.68,1.38,0.43,1.12
0.67,1.07,0.96,0.38,,,,,,0.65,1.43,0.09,0.82
1.23,1.11,1.37,0.47,R,,,,,0.69,1.26,0.11,0.81
1.4,1.2,0.89,0.57,R,,,,,0.57,1.23,0.1,0.68
1.17,1.05,0.67,0.37,R,,,,,0.4,1.16,0.08,0.39
0.91,0.94,0.56,0.36,R,,,,,0.29,1.05,0.1,0.42
0.69,0.86,0.42,0.39,R,,,,,0.23,0.97,0.09,0.37
0.59,0.79,0.37,0.34,R,,,,,0.23,0.98,0.07,0.3
0.53,0.76,0.31,0.36,R,,,,,0.22,0.9,0.09,0.29
0.52,0.79,0.36,0.35,R,,,,,0.26,0.96,0.13,0.34
0.55,0.82,0.46,0.35,R,,,,,0.24,0.95,0.1,0.31
0.56,0.78,0.4,0.39,,,,,,1.3,0.78,4.02,0.26
0.55,0.72,0.38,0.25,,,,,,3.05,1.15,6.29,0.82
0.44,0.65,0.33,0.23,,,,,,2.89,1.3,3.6,0.82
0.54,0.93,0.22,0.51,,,,,,1.75,0.9,2.15,0.33
0.85,1.46,0.15,0.66,,,,,,1.51,0.84,2.18,0.34
0.88,1.74,0.1,1.13,,,,,,1.59,0.83,2.17,0.26
0.64,1.88,0.11,2.29,,,,,,1.35,0.77,1.43,0.21
0.43,1.98,0.14,2.05,,,,,,1.13,0.7,1.19,0.17
0.33,1.83,0.11,1.1,,,,,,1.08,0.65,1.01,0.1
0.29,1.59,0.11,0.97,,,,,,1.05,0.65,0.89,0.13
0.32,1.83,0.13,2.78,,,,,,1.04,0.66,0.98,0.19
0.37,2.36,0.15,4.07,,,,,,1.08,0.66,0.95,0.22
0.41,2.35,0.23,2.8,,,,,,0.82,0.6,0.56,0.17
0.39,2.07,0.19,2.62,,,,,,0.81,0.86,0.67,0.6
0.45,1.66,0.82,1.76,,,,,,0.85,1.57,0.64,1.01
0.92,1.13,1.45,0.35,,,,,,0.5,1.78,0.13,0.95
1.24,1.11,1.04,0.62,R,,,,,0.3,1.4,0.08,0.6
1.14,1.16,0.62,0.66,R,,,,,0.2,1.08,0.07,0.27
1,1.19,0.73,0.72,R,,,,,0.2,0.86,0.07,0.24
0.87,1.25,0.83,0.83,R,,,,,0.19,0.78,0.06,0.25
