Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture,,,,,1,2,3,4
0.38,1.49,0.16,0.65,S,,,,,1.58,0.67,1.99,0.23
0.35,1.33,0.12,0.54,S,,,,,1.47,0.66,1.65,0.22
0.31,1.2,0.12,0.46,S,,,,,1.58,0.6,1.66,0.11
0.27,1.05,0.12,0.45,S,,,,,1.51,0.55,1.26,0.1
0.23,1.04,0.11,0.5,S,,,,,1.3,0.51,1.01,0.12
0.22,1.05,0.07,0.78,S,,,,,1.15,0.51,1.09,0.13
0.22,1.05,0.06,0.85,,,,,,0.94,0.5,0.74,0.1
0.19,1.06,0.04,0.55,,,,,,0.64,0.43,0.28,0.03
0.35,0.88,0.22,0.32,,,,,,0.54,0.68,0.38,0.27
0.68,0.71,0.52,0.09,,,,,,0.52,1.08,0.36,0.49
0.89,0.81,0.67,0.3,,,,,,0.32,1.04,0.06,0.37
0.97,0.96,0.61,0.43,R,,,,,0.3,0.83,0.06,0.3
1.05,1.04,0.56,0.35,R,,,,,0.31,0.8,0.05,0.29
1.07,0.97,0.58,0.49,R,,,,,0.25,0.83,0.06,0.36
0.92,0.87,0.53,0.54,R,,,,,0.19,0.79,0.07,0.32
0.76,0.84,0.54,0.36,R,,,,,0.16,0.71,0.04,0.22
0.59,0.82,0.38,0.3,R,,,,,0.14,0.72,0.03,0.25
0.49,0.81,0.35,0.37,R,,,,,0.14,0.77,0.04,0.28
0.51,0.79,0.49,0.34,R,,,,,0.14,0.74,0.05,0.23
0.55,0.77,0.46,0.47,R,,,,,0.13,0.65,0.04,0.21
0.52,0.74,0.42,0.45,,,,,,0.2,0.61,0.26,0.25
0.41,0.77,0.33,0.31,,,,,,1.03,0.64,1.68,0.3
0.41,0.78,0.25,0.3,,,,,,2.29,1.11,3.74,0.78
0.71,0.98,0.23,0.55,,,,,,2.47,1.33,3.87,0.78
1.01,1.25,0.16,0.59,,,,,,1.98,1.02,2.6,0.29
0.83,1.35,0.09,0.37,,,,,,1.59,0.92,1.76,0.24
0.49,1.36,0.11,0.38,,,,,,1.3,0.86,1.42,0.23
0.29,1.22,0.1,0.27,,,,,,1.18,0.78,1.37,0.29
0.18,1.05,0.05,0.21,,,,,,1.15,0.78,1.22,0.35
0.18,0.98,0.07,0.3,,,,,,1.17,0.77,1.14,0.25
0.21,0.91,0.09,0.28,,,,,,1.08,0.71,0.96,0.18
0.22,0.83,0.1,0.2,,,,,,1.09,0.74,1.31,0.4
0.19,0.8,0.07,0.26,,,,,,1.3,0.86,1.46,0.42
0.19,0.69,0.1,0.21,,,,,,1.27,0.7,0.95,0.16
0.54,0.56,0.44,0.07,,,,,,1.11,0.68,0.88,0.24
0.76,0.49,0.48,0.03,,,,,,0.99,1.29,0.58,0.73
0.6,0.5,0.21,0.04,,,,,,0.65,1.62,0.2,1
0.46,0.96,0.2,0.03,,,,,,0.42,1.4,0.1,0.83
0.54,1.8,0.28,0.02,,,,,,0.4,1.19,0.06,0.64
0.59,1.74,0.3,0.01,,,,,,0.34,1.02,0.09,0.37
0.51,0.98,0.34,0.01,,,,,,0.28,0.95,0.1,0.32
0.52,0.87,0.43,0.01,,,,,,0.24,1.01,0.07,0.43
0.51,1.18,0.35,0.01,,,,,,0.19,0.97,0.05,0.32
0.52,1.25,0.25,0.01,,,,,,0.15,0.84,0.04,0.28
0.54,1.2,0.22,0.01,,,,,,0.14,0.88,0.04,0.35
0.52,1.13,0.21,0.04,,,,,,0.13,0.84,0.04,0.27
0.56,1.15,0.28,0.06,,,,,,0.1,0.58,0.02,0.12
0.53,1.27,0.29,0.03,,,,,,0.19,0.37,0.11,0.03
0.48,1.31,0.23,0.02,,,,,,0.4,0.28,0.18,0.01
0.5,1.26,0.33,0.02,,,,,,0.55,0.34,0.26,0.01
,,,,,,,,,0.64,1.92,0.41,0.01
,,,,,,,,,0.58,4.07,0.33,0.01
,,,,,,,,,0.43,4.7,0.16,0
,,,,,,,,,0.38,3.45,0.08,0
,,,,,,,,,0.4,2.19,0.11,0
,,,,,,,,,0.38,2.38,0.12,0
,,,,,,,,,0.33,2.58,0.08,0
,,,,,,,,,0.36,2.42,0.13,0
,,,,,,,,,0.37,2.18,0.15,0
,,,,,,,,,0.36,1.99,0.14,0
,,,,,,,,,0.35,1.81,0.17,0
,,,,,,,,,0.34,1.61,0.16,0
,,,,,,,,,0.3,1.42,0.11,0
,,,,,,,,,0.25,1.25,0.08,0
,,,,,,,,,0.34,1.09,0.16,0.01
,,,,,,,,,0.34,0.96,0.15,0.02
,,,,,,,,,0.37,0.94,0.21,0.01
,,,,,,,,,0.45,1.02,0.22,0.01
,,,,,,,,,0.44,1.04,0.25,0.01
,,,,,,,,,0.47,0.96,0.31,0
,,,,,,,,,0.42,0.87,0.2,0.01
,,,,,,,,,0.38,0.8,0.19,0.01
,,,,,,,,,0.46,0.74,0.2,0.01
,,,,,,,,,0.45,0.68,0.24,0.01
,,,,,,,,,0.41,0.64,0.26,0.01
,,,,,,,,,0.42,0.65,0.2,0.02
,,,,,,,,,0.45,0.65,0.31,0.02
,,,,,,,,,0.45,0.61,0.3,0.01
,,,,,,,,,0.42,0.56,0.16,0
,,,,,,,,,0.38,0.5,0.18,0.01
,,,,,,,,,0.35,0.49,0.16,0.02
