,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,3.07,1.33,5.48,4.11,,3.07,1.33,5.48,4.11,,2.81,0.64,5.45,3.53
,,0.01,1.56,5.61,4.03,,0.01,1.56,5.61,4.03,,2.88,0.66,5.55,3.55
,,2.87,1.62,5.96,4.07,,2.87,1.62,5.96,4.07,,1.88,0.91,5.17,3.6
,,2.21,1.65,5.06,4.09,,2.21,1.65,5.06,4.09,,2.59,1.03,5.55,3.56
,,3.26,1.64,5.89,4.18,,3.26,1.64,5.89,4.18,,2.57,0.92,5.53,3.56
,,0.66,1.74,5.92,4.27,,0.66,1.74,5.92,4.27,,2.37,0.87,5.61,3.57
,,3.35,1.7,5.8,4.28,,3.35,1.7,5.8,4.28,,3.2,0.77,5.81,3.56
,,1.51,1.7,5.54,4.2,,1.51,1.7,5.54,4.2,,1.51,0.97,5.38,3.55
,,3.06,1.56,5.57,4.1,,3.06,1.56,5.57,4.1,,3.62,0.94,5.54,3.55
,,3.05,1.44,5.45,3.99,,3.05,1.44,5.45,3.99,,3.03,1.02,5.58,3.52
,,3.65,1.48,5.66,3.91,,3.65,1.48,5.66,3.91,,3.23,1.21,5.32,3.5
,,0,1.67,5.22,3.85,,0,1.67,5.22,3.85,,2.25,1.25,5.47,3.51
,,2.13,1.71,5.39,3.82,,2.13,1.71,5.39,3.82,,2.3,1.17,5.43,3.5
,,2.3,1.73,5.53,3.82,,2.3,1.73,5.53,3.82,,2.85,1.14,5.48,3.46
,,2.84,1.78,5.19,3.84,,2.84,1.78,5.19,3.84,,3.26,1.09,5.68,3.51
,,2.85,1.85,5.83,3.8,,2.85,1.85,5.83,3.8,,2.62,1.07,5.34,3.54
,,1.28,1.77,5.12,3.75,,1.28,1.77,5.12,3.75,,2.3,0.97,5.51,3.59
,,1.43,1.92,5.28,3.74,,1.43,1.92,5.28,3.74,,2.31,0.87,5.6,3.64
,,2.98,1.76,5.37,3.72,,2.98,1.76,5.37,3.72,,2.3,0.79,5.55,3.67
,,3,1.87,5.51,3.65,,3,1.87,5.51,3.65,,2.72,0.77,5.38,3.73
,,2.56,1.94,5.62,3.72,,2.56,1.94,5.62,3.72,,1.78,0.73,5.3,3.8
,,2.14,1.89,5.01,3.75,,2.14,1.89,5.01,3.75,,1.13,0.85,5.44,3.85
,,2.88,1.88,6.05,3.78,,2.88,1.88,6.05,3.78,,1.76,1.03,5.42,3.94
,,2.07,2.01,5.32,3.92,,2.07,2.01,5.32,3.92,,1.85,1.02,5.41,4
,,2.75,1.78,5.52,3.86,,2.75,1.78,5.52,3.86,,2.39,1.15,5.52,4.05
,,0.04,1.9,5.51,3.87,,0.04,1.9,5.51,3.87,,2.73,1.25,5.15,4.12
,,0.72,1.81,6.18,3.83,,0.72,1.81,6.18,3.83,,2.72,1.26,5.87,4.19
,,2.52,1.71,5.72,3.99,,2.52,1.71,5.72,3.99,,1.54,1.3,4.98,4.24
,,3.48,1.51,5.58,3.89,,3.48,1.51,5.58,3.89,,2.41,1.41,5.32,4.34
,,2.93,1.74,4.39,4.01,,2.93,1.74,4.39,4.01,,1.86,1.45,5.46,4.39
,,2.67,1.58,5.54,4.07,,2.67,1.58,5.54,4.07,,2.32,1.46,5.67,4.49
,,2.43,1.41,5.57,4,,2.43,1.41,5.57,4,,2.63,1.61,5.52,4.56
,,3.2,1.65,5.29,3.9,,3.2,1.65,5.29,3.9,,2.12,1.56,5.55,4.56
,,2.53,1.45,5.48,3.82,,2.53,1.45,5.48,3.82,,2.51,1.71,5.8,4.68
,,2.17,1.34,4.55,3.93,,2.17,1.34,4.55,3.93,,3.5,1.79,5.46,4.73
,,2.29,1.24,5.48,3.97,,2.29,1.24,5.48,3.97,,1.3,2,5.46,4.76
,,2.27,1.09,5.54,3.94,,2.27,1.09,5.54,3.94,,2.9,2.28,5.77,4.86
,,2.96,0.96,5.56,3.84,,2.96,0.96,5.56,3.84,,2.76,2.39,5.49,4.91
,,2.71,0.88,5.51,3.75,,2.71,0.88,5.51,3.75,,2.46,2.43,5.25,4.93
,,2.7,0.81,5.43,3.66,,2.7,0.81,5.43,3.66,,3,2.37,5.33,4.84
,,2.3,0.76,5.43,3.58,,2.3,0.76,5.43,3.58,,2.77,2.36,5.52,4.96
,,2.53,0.68,5.44,3.53,,2.53,0.68,5.44,3.53,,1.99,2.38,5.44,4.99
,,2.36,0.69,5.51,3.48,,2.36,0.69,5.51,3.48,,0.63,2.36,5.46,5.02
,,2.53,0.65,5.43,3.47,,2.53,0.65,5.43,3.47,,2.8,2.64,5.4,5.06
,,2.91,0.63,5.5,3.43,,2.91,0.63,5.5,3.43,,2.8,2.61,5.29,5.02
,,2.63,0.63,5.44,3.4,,2.63,0.63,5.44,3.4,,2.51,2.51,5.38,5.04
,,2.56,0.6,5.46,3.38,,2.56,0.6,5.46,3.38,,2.31,2.48,5.61,4.99
,,2.52,0.55,5.52,3.39,,2.52,0.55,5.52,3.39,,2.57,2.38,5.33,4.94
,,2.49,0.55,5.36,3.41,,2.49,0.55,5.36,3.41,,2.41,2.28,5.42,4.92
,,2.56,0.55,5.51,3.37,,2.56,0.55,5.51,3.37,,3.51,2.18,5.52,4.91
,,2.52,0.57,5.44,3.36,,2.52,0.57,5.44,3.36,,2.63,2.2,5.6,4.91
,,2.54,0.58,5.43,3.37,,2.54,0.58,5.43,3.37,,1.99,2.27,5.48,4.84
,,2.51,0.59,5.49,3.36,,2.51,0.59,5.49,3.36,,3.54,2.17,5.47,4.82
,,2.49,0.6,5.45,3.35,,2.49,0.6,5.45,3.35,,2.13,2.15,5.55,4.78
,,2.47,0.6,5.39,3.36,,2.47,0.6,5.39,3.36,,2.39,2,5.63,4.78
,,2.36,0.63,5.45,3.32,,2.36,0.63,5.45,3.32,,2.28,1.96,5.41,4.76
,,2.59,0.63,5.4,3.34,,2.59,0.63,5.4,3.34,,2.61,1.95,5.18,4.74
,,2.57,0.62,5.5,3.32,,2.57,0.62,5.5,3.32,,2.62,1.97,5.33,4.7
,,2.5,0.63,5.37,3.35,,2.5,0.63,5.37,3.35,,2.47,1.86,5.4,4.69
,,2.45,0.7,5.56,3.35,,2.45,0.7,5.56,3.35,,2.06,1.82,5.62,4.64
,,2.73,0.65,5.41,3.36,,2.73,0.65,5.41,3.36,,2.4,1.85,5.79,4.63
,,2.42,0.67,5.49,3.36,,2.42,0.67,5.49,3.36,,2.41,1.78,5.44,4.65
,,2.54,0.68,5.52,3.36,,2.54,0.68,5.52,3.36,,2.52,1.73,5.53,4.68
,,2.43,0.72,5.37,3.39,,2.43,0.72,5.37,3.39,,3.15,1.66,5.55,4.69
,,2.52,0.73,5.47,3.37,,2.52,0.73,5.47,3.37,,1.95,1.62,5.27,4.64
,,2.53,0.72,5.47,3.39,,2.53,0.72,5.47,3.39,,2.64,1.77,5.39,4.65
,,2.46,0.75,5.42,3.38,,2.46,0.75,5.42,3.38,,2.47,1.75,5.21,4.61
,,2.44,0.76,5.4,3.35,,2.44,0.76,5.4,3.35,,2.07,1.74,5.54,4.57
,,2.54,0.79,5.47,3.36,,2.54,0.79,5.47,3.36,,2.71,1.73,5.5,4.56
,,2.5,0.81,5.49,3.35,,2.5,0.81,5.49,3.35,,2.43,1.67,5.55,4.52
,,2.54,0.81,5.43,3.34,,2.54,0.81,5.43,3.34,,2.5,1.63,5.27,4.44
,,2.47,0.84,5.47,3.33,,2.47,0.84,5.47,3.33,,2.42,1.66,5.57,4.47
,,2.41,0.85,5.45,3.32,,2.41,0.85,5.45,3.32,,2.62,1.57,5.49,4.45
,,2.5,0.86,5.46,3.3,,2.5,0.86,5.46,3.3,,2.28,1.54,5.56,4.42
,,2.34,0.87,5.38,3.3,,2.34,0.87,5.38,3.3,,2.81,1.65,5.6,4.38
,,2.49,0.88,5.53,3.29,,2.49,0.88,5.53,3.29,,1.58,1.61,5.42,4.34
,,2.46,0.89,5.45,3.29,,2.46,0.89,5.45,3.29,,2.96,1.71,5.8,4.34
,,2.46,0.9,5.39,3.29,,2.46,0.9,5.39,3.29,,2.59,1.68,5.26,4.26
,,2.48,0.9,5.48,3.28,,2.48,0.9,5.48,3.28,,2.61,1.65,5.36,4.26
,,2.41,0.88,5.45,3.26,,2.41,0.88,5.45,3.26,,1.94,1.59,5.27,4.21
,,2.52,0.88,5.5,3.25,,2.52,0.88,5.5,3.25,,2.51,1.59,5.44,4.22
,,2.5,0.9,5.47,3.25,,2.5,0.9,5.47,3.25,,2.49,1.53,5.53,4.17
,,2.46,0.91,5.51,3.24,,2.46,0.91,5.51,3.24,,2.86,1.57,5.58,4.16
,,2.5,0.92,5.44,3.23,,2.5,0.92,5.44,3.23,,2.56,1.58,5.5,4.13
,,2.45,0.92,5.46,3.24,,2.45,0.92,5.46,3.24,,2.32,1.52,5.53,4.12
,,2.47,0.91,5.48,3.22,,2.47,0.91,5.48,3.22,,2.4,1.52,5.17,4.07
,,2.53,0.9,5.47,3.22,,2.53,0.9,5.47,3.22,,2.82,1.58,5.26,4.06
,,2.46,0.89,5.47,3.22,,2.46,0.89,5.47,3.22,,2.49,1.46,5.12,3.95
,,2.48,0.88,5.44,3.21,,2.48,0.88,5.44,3.21,,2.66,1.6,5.55,4.01
,,2.44,0.88,5.45,3.21,,2.44,0.88,5.45,3.21,,2.45,1.59,5.32,3.91
,,2.51,0.84,5.43,3.22,,2.51,0.84,5.43,3.22,,1.99,1.52,5.41,3.91
,,2.56,0.84,5.45,3.21,,2.56,0.84,5.45,3.21,,2.53,1.53,5.51,3.88
,,2.46,0.83,5.44,3.21,,2.46,0.83,5.44,3.21,,2.97,1.42,5.57,3.86
,,2.46,0.82,5.42,3.22,,2.46,0.82,5.42,3.22,,2.46,1.4,5.48,3.85
,,2.48,0.81,5.43,3.22,,2.48,0.81,5.43,3.22,,2.66,1.41,5.61,3.82
,,2.47,0.8,5.45,3.22,,2.47,0.8,5.45,3.22,,2.08,1.34,5.2,3.74
,,2.49,0.78,5.45,3.21,,2.49,0.78,5.45,3.21,,1.02,1.38,5.44,3.74
,,2.53,0.74,5.47,3.21,,2.53,0.74,5.47,3.21,,3.29,1.52,5.47,3.69
,,2.46,0.73,5.45,3.2,,2.46,0.73,5.45,3.2,,2.64,1.47,5.48,3.69
,,2.49,0.71,5.47,3.2,,2.49,0.71,5.47,3.2,,2.8,1.44,5.56,3.65
,,2.49,0.69,5.45,3.19,,2.49,0.69,5.45,3.19,,3.02,1.42,5.53,3.61
,,2.52,0.68,5.45,3.19,,2.52,0.68,5.45,3.19,,2.35,1.36,5.36,3.66
,,2.54,0.66,5.44,3.19,,2.54,0.66,5.44,3.19,,2.81,1.35,5.45,3.65
,,2.37,0.65,5.41,3.2,,2.37,0.65,5.41,3.2,,2.5,1.3,5.26,3.63
,,2.48,0.64,5.49,3.19,,2.48,0.64,5.49,3.19,,2.15,1.32,5.14,3.62
,,2.54,0.6,5.49,3.19,,2.54,0.6,5.49,3.19,,2.44,1.5,5.51,3.63
,,2.5,0.61,5.45,3.2,,2.5,0.61,5.45,3.2,,2.81,1.51,5.47,3.62
,,2.61,0.58,5.46,3.2,,2.61,0.58,5.46,3.2,,2.57,1.5,5.51,3.59
,,2.56,0.58,5.45,3.2,,2.56,0.58,5.45,3.2,,2.58,1.51,5.51,3.57
,,2.46,0.59,5.44,3.21,,2.46,0.59,5.44,3.21,,3.16,1.4,5.31,3.56
,,2.41,0.56,5.43,3.2,,2.41,0.56,5.43,3.2,,2.64,1.48,5.45,3.55
,,2.52,0.55,5.47,3.22,,2.52,0.55,5.47,3.22,,2.6,1.53,5.45,3.54
,,2.49,0.54,5.45,3.2,,2.49,0.54,5.45,3.2,,1.97,1.46,5.52,3.53
,,2.41,0.52,5.45,3.19,,2.41,0.52,5.45,3.19,,2.48,1.47,5.4,3.49
,,2.53,0.5,5.43,3.21,,2.53,0.5,5.43,3.21,,2.44,1.46,5.44,3.48
,,2.5,0.49,5.45,3.2,,2.5,0.49,5.45,3.2,,1.7,1.38,5.53,3.46
,,2.59,0.46,5.48,3.2,,2.59,0.46,5.48,3.2,,2.41,1.44,5.46,3.46
,,2.51,0.46,5.46,3.22,,2.51,0.46,5.46,3.22,,2.63,1.44,5.48,3.46
,,2.45,0.44,5.48,3.21,,2.45,0.44,5.48,3.21,,2.07,1.29,5.55,3.45
,,2.41,0.43,5.47,3.19,,2.41,0.43,5.47,3.19,,2.53,1.4,5.48,3.46
,,2.53,0.41,5.5,3.2,,2.53,0.41,5.5,3.2,,2.51,1.34,5.48,3.48
,,2.48,0.41,5.46,3.2,,2.48,0.41,5.46,3.2,,2.45,1.25,5.45,3.46
,,2.5,0.39,5.45,3.2,,2.5,0.39,5.45,3.2,,2.61,1.38,5.43,3.5
,,2.37,0.38,5.44,3.19,,2.37,0.38,5.44,3.19,,2.61,1.34,5.51,3.51
,,2.52,0.37,5.41,3.21,,2.52,0.37,5.41,3.21,,2.59,1.29,5.42,3.5
,,2.5,0.36,5.43,3.19,,2.5,0.36,5.43,3.19,,2.56,1.23,5.55,3.51
,,2.55,0.32,5.47,3.2,,2.55,0.32,5.47,3.2,,2.57,1.16,5.5,3.53
,,2.38,0.34,5.47,3.21,,2.38,0.34,5.47,3.21,,2.6,1.09,5.49,3.56
,,2.56,0.31,5.45,3.19,,2.56,0.31,5.45,3.19,,2.51,1.01,5.49,3.59
,,2.49,0.31,5.45,3.19,,2.49,0.31,5.45,3.19,,2.64,0.93,5.48,3.58
,,2.57,0.29,5.47,3.18,,2.57,0.29,5.47,3.18,,2.23,0.86,5.43,3.59
,,2.47,0.3,5.46,3.18,,2.47,0.3,5.46,3.18,,2.55,0.82,5.52,3.58
,,2.51,0.3,5.43,3.19,,2.51,0.3,5.43,3.19,,2.54,0.71,5.48,3.57
,,2.54,0.26,5.48,3.19,,2.54,0.26,5.48,3.19,,2.65,0.65,5.43,3.56
,,2.53,0.26,5.45,3.18,,2.53,0.26,5.45,3.18,,2.5,0.59,5.48,3.57
,,2.47,0.26,5.46,3.17,,2.47,0.26,5.46,3.17,,2.53,0.52,5.48,3.58
,,2.6,0.25,5.49,3.18,,2.6,0.25,5.49,3.18,,2.47,0.47,5.51,3.6
,,2.49,0.25,5.48,3.18,,2.49,0.25,5.48,3.18,,2.58,0.43,5.53,3.57
,,2.47,0.23,5.43,3.18,,2.47,0.23,5.43,3.18,,2.53,0.4,5.45,3.55
,,2.5,0.22,5.48,3.18,,2.5,0.22,5.48,3.18,,2.52,0.34,5.51,3.53
,,2.44,0.22,5.42,3.17,,2.44,0.22,5.42,3.17,,2.26,0.35,5.48,3.49
,,2.57,0.21,5.53,3.18,,2.57,0.21,5.53,3.18,,2.56,0.34,5.56,3.46
,,2.49,0.21,5.46,3.18,,2.49,0.21,5.46,3.18,,2.54,0.29,5.53,3.42
,,2.52,0.2,5.46,3.17,,2.52,0.2,5.46,3.17,,2.53,0.26,5.48,3.39
,,2.53,0.2,5.42,3.16,,2.53,0.2,5.42,3.16,,2.61,0.26,5.47,3.35
,,2.59,0.19,5.46,3.18,,2.59,0.19,5.46,3.18,,2.54,0.25,5.52,3.33
,,2.51,0.18,5.46,3.17,,2.51,0.18,5.46,3.17,,2.54,0.24,5.45,3.31
,,2.4,0.17,5.49,3.17,,2.4,0.17,5.49,3.17,,2.52,0.25,5.5,3.3
,,2.43,0.16,5.43,3.17,,2.43,0.16,5.43,3.17,,2.48,0.28,5.47,3.32
,,2.44,0.16,5.45,3.18,,2.44,0.16,5.45,3.18,,2.47,0.29,5.51,3.32
,,2.52,0.15,5.45,3.18,,2.52,0.15,5.45,3.18,,2.51,0.32,5.51,3.34
,,2.55,0.14,5.48,3.19,,2.55,0.14,5.48,3.19,,2.46,0.35,5.45,3.38
,,2.53,0.14,5.45,3.18,,2.53,0.14,5.45,3.18,,2.47,0.34,5.45,3.41
,,2.55,0.14,5.52,3.18,,2.55,0.14,5.52,3.18,,2.34,0.39,5.45,3.41
,,2.47,0.14,5.43,3.18,,2.47,0.14,5.43,3.18,,2.57,0.39,5.53,3.43
,,2.48,0.13,5.46,3.18,,2.48,0.13,5.46,3.18,,2.32,0.43,5.48,3.43
,,2.53,0.13,5.46,3.18,,2.53,0.13,5.46,3.18,,2.54,0.42,5.47,3.43
,,2.5,0.12,5.42,3.17,,2.5,0.12,5.42,3.17,,2.47,0.41,5.46,3.44
,,2.5,0.12,5.48,3.19,,2.5,0.12,5.48,3.19,,2.25,0.46,5.45,3.46
,,2.52,0.11,5.48,3.19,,2.52,0.11,5.48,3.19,,2.57,0.46,5.45,3.48
,,2.55,0.11,5.47,3.17,,2.55,0.11,5.47,3.17,,2.57,0.47,5.49,3.51
,,2.55,0.1,5.47,3.17,,2.55,0.1,5.47,3.17,,2.51,0.51,5.52,3.52
,,2.44,0.11,5.45,3.17,,2.44,0.11,5.45,3.17,,2.51,0.53,5.48,3.54
,,2.49,0.1,5.44,3.18,,2.49,0.1,5.44,3.18,,2.48,0.56,5.49,3.56
,,2.51,0.09,5.44,3.19,,2.51,0.09,5.44,3.19,,2.57,0.57,5.51,3.6
,,2.52,0.09,5.45,3.18,,2.52,0.09,5.45,3.18,,2.42,0.59,5.46,3.63
,,2.5,0.09,5.44,3.17,,2.5,0.09,5.44,3.17,,2.82,0.59,5.45,3.67
,,2.58,0.09,5.46,3.17,,2.58,0.09,5.46,3.17,,2.58,0.61,5.51,3.7
,,2.5,0.1,5.44,3.16,,2.5,0.1,5.44,3.16,,2.48,0.63,5.47,3.72
,,2.49,0.09,5.46,3.16,,2.49,0.09,5.46,3.16,,2.32,0.65,5.47,3.75
,,2.61,0.09,5.51,3.17,,2.61,0.09,5.51,3.17,,2.54,0.62,5.49,3.78
,,2.57,0.09,5.47,3.17,,2.57,0.09,5.47,3.17,,2.5,0.63,5.48,3.8
,,2.47,0.09,5.47,3.16,,2.47,0.09,5.47,3.16,,2.4,0.62,5.42,3.83
,,2.51,0.1,5.45,3.16,,2.51,0.1,5.45,3.16,,2.54,0.65,5.5,3.85
,,2.53,0.08,5.47,3.17,,2.53,0.08,5.47,3.17,,2.4,0.67,5.49,3.86
,,2.44,0.09,5.43,3.16,,2.44,0.09,5.43,3.16,,2.45,0.66,5.44,3.87
,,2.52,0.1,5.47,3.17,,2.52,0.1,5.47,3.17,,2.52,0.68,5.51,3.87
,,2.46,0.1,5.47,3.17,,2.46,0.1,5.47,3.17,,2.56,0.71,5.48,3.88
,,2.51,0.09,5.43,3.17,,2.51,0.09,5.43,3.17,,2.44,0.73,5.46,3.9
,,2.53,0.08,5.47,3.17,,2.53,0.08,5.47,3.17,,2.43,0.74,5.53,3.89
,,2.58,0.09,5.46,3.17,,2.58,0.09,5.46,3.17,,2.44,0.76,5.43,3.88
,,2.49,0.09,5.47,3.17,,2.49,0.09,5.47,3.17,,2.52,0.75,5.48,3.87
,,2.45,0.1,5.45,3.17,,2.45,0.1,5.45,3.17,,2.57,0.8,5.47,3.88
,,2.52,0.08,5.47,3.19,,2.52,0.08,5.47,3.19,,2.48,0.74,5.45,3.87
,,2.52,0.08,5.46,3.19,,2.52,0.08,5.46,3.19,,2.43,0.72,5.52,3.84
,,2.51,0.08,5.45,3.19,,2.51,0.08,5.45,3.19,,2.49,0.73,5.46,3.85
,,2.46,0.09,5.44,3.18,,2.46,0.09,5.44,3.18,,2.4,0.74,5.42,3.87
,,2.58,0.09,5.46,3.17,,2.58,0.09,5.46,3.17,,2.65,0.72,5.51,3.83
,,2.45,0.09,5.45,3.18,,2.45,0.09,5.45,3.18,,2.47,0.74,5.49,3.79
,,2.56,0.09,5.46,3.18,,2.56,0.09,5.46,3.18,,2.56,0.72,5.47,3.78
,,2.57,0.08,5.48,3.18,,2.57,0.08,5.48,3.18,,2.62,0.72,5.44,3.77
,,2.61,0.09,5.47,3.17,,2.61,0.09,5.47,3.17,,2.51,0.75,5.49,3.76
,,2.5,0.09,5.45,3.16,,2.5,0.09,5.45,3.16,,2.49,0.73,5.48,3.74
,,2.46,0.08,5.44,3.17,,2.46,0.08,5.44,3.17,,2.48,0.72,5.51,3.75
,,2.53,0.08,5.48,3.17,,2.53,0.08,5.48,3.17,,2.52,0.73,5.41,3.74
,,2.49,0.07,5.48,3.18,,2.49,0.07,5.48,3.18,,2.57,0.71,5.47,3.7
,,2.44,0.08,5.46,3.17,,2.44,0.08,5.46,3.17,,2.5,0.72,5.47,3.7
,,2.47,0.07,5.5,3.16,,2.47,0.07,5.5,3.16,,2.48,0.73,5.45,3.7
,,2.39,0.08,5.45,3.18,,2.39,0.08,5.45,3.18,,2.4,0.7,5.48,3.7
,,2.49,0.08,5.43,3.17,,2.49,0.08,5.43,3.17,,2.48,0.7,5.48,3.69
,,2.53,0.09,5.47,3.18,,2.53,0.09,5.47,3.18,,2.28,0.7,5.49,3.69
,,2.51,0.07,5.46,3.19,,2.51,0.07,5.46,3.19,,2.49,0.65,5.46,3.68
,,2.43,0.08,5.45,3.19,,2.43,0.08,5.45,3.19,,2.52,0.67,5.5,3.68
,,2.46,0.09,5.44,3.19,,2.46,0.09,5.44,3.19,,2.39,0.67,5.48,3.69
,,2.46,0.07,5.44,3.19,,2.46,0.07,5.44,3.19,,2.51,0.66,5.4,3.68
,,2.49,0.08,5.46,3.2,,2.49,0.08,5.46,3.2,,2.54,0.65,5.49,3.66
,,2.47,0.07,5.46,3.21,,2.47,0.07,5.46,3.21,,2.5,0.65,5.45,3.67
,,2.26,0.12,5.44,3.2,,2.26,0.12,5.44,3.2,,2.48,0.65,5.42,3.66
,,2.52,0.11,5.4,3.19,,2.52,0.11,5.4,3.19,,2.43,0.61,5.49,3.66
,,2.96,0.13,5.48,3.19,,2.96,0.13,5.48,3.19,,2.52,0.62,5.46,3.66
,,1.14,0.65,5.4,3.19,,1.14,0.65,5.4,3.19,,2.49,0.65,5.46,3.67
,,3.33,0.68,5.53,3.22,,3.33,0.68,5.53,3.22,,2.49,0.65,5.47,3.65
,,1.44,1.11,5.35,3.23,,1.44,1.11,5.35,3.23,,2.54,0.62,5.41,3.64
,,2.77,1.09,5.36,3.23,,2.77,1.09,5.36,3.23,,2.57,0.58,5.52,3.62
,,1.41,1.14,5.24,3.35,,1.41,1.14,5.24,3.35,,2.5,0.62,5.46,3.62
,,2.95,1.07,5.6,3.36,,2.95,1.07,5.6,3.36,,2.47,0.6,5.42,3.62
,,2.74,1.1,5.75,3.77,,2.74,1.1,5.75,3.77,,2.45,0.59,5.49,3.59
,,1.73,1.31,5.5,3.72,,1.73,1.31,5.5,3.72,,2.48,0.59,5.48,3.62
,,2.91,1.45,5.13,3.79,,2.91,1.45,5.13,3.79,,2.5,0.58,5.46,3.6
,,1.65,1.4,5.58,3.86,,1.65,1.4,5.58,3.86,,2.62,0.56,5.43,3.58
,,1.85,1.58,5.78,4.02,,1.85,1.58,5.78,4.02,,2.5,0.54,5.46,3.57
,,3.16,1.67,5.51,3.93,,3.16,1.67,5.51,3.93,,2.37,0.52,5.46,3.57
,,1.82,1.49,6.32,3.96,,1.82,1.49,6.32,3.96,,2.48,0.5,5.47,3.56
,,3.07,1.37,5.85,4.18,,3.07,1.37,5.85,4.18,,2.47,0.49,5.55,3.54
,,2.6,1.27,5.06,4.2,,2.6,1.27,5.06,4.2,,2.46,0.51,5.45,3.54
,,3.16,1.14,6.45,4.34,,3.16,1.14,6.45,4.34,,2.53,0.5,5.5,3.52
,,2.39,1.09,3,4.88,,2.39,1.09,3,4.88,,2.56,0.49,5.44,3.53
,,2.6,0.93,6.09,5.04,,2.6,0.93,6.09,5.04,,2.5,0.5,5.47,3.52
,,2.52,0.87,4.78,5.01,,2.52,0.87,4.78,5.01,,2.58,0.46,5.54,3.5
,,2.6,0.76,5.11,5.02,,2.6,0.76,5.11,5.02,,2.49,0.47,5.5,3.5
,,2.81,0.65,5.78,4.91,,2.81,0.65,5.78,4.91,,2.41,0.45,5.45,3.5
,,2.99,0.7,5.22,4.89,,2.99,0.7,5.22,4.89,,2.45,0.45,5.49,3.49
,,2.56,0.73,5.7,4.74,,2.56,0.73,5.7,4.74,,2.59,0.58,5.47,3.51
,,2.68,0.69,5.73,4.67,,2.68,0.69,5.73,4.67,,2.65,0.59,5.51,3.48
,,2.79,0.63,5.54,4.59,,2.79,0.63,5.54,4.59,,2.53,0.51,5.53,3.48
,,2.44,0.73,5.88,4.59,,2.44,0.73,5.88,4.59,,2.49,0.5,5.45,3.49
,,2.66,0.82,5.82,4.44,,2.66,0.82,5.82,4.44,,2.51,0.44,5.5,3.47
,,2.93,0.76,5.23,4.42,,2.93,0.76,5.23,4.42,,2.75,0.48,5.48,3.47
,,2.61,0.75,6.2,4.34,,2.61,0.75,6.2,4.34,,2.49,0.49,5.44,3.47
,,2.03,0.75,5.54,4.49,,2.03,0.75,5.54,4.49,,3.05,0.65,5.53,3.49
,,2.63,0.69,5.21,4.45,,2.63,0.69,5.21,4.45,,2.83,0.85,5.46,3.48
,,1.96,0.7,5.07,4.55,,1.96,0.7,5.07,4.55,,2.61,0.73,5.48,3.46
,,2.91,0.67,5.19,4.56,,2.91,0.67,5.19,4.56,,2.39,0.68,5.44,3.46
,,2.93,0.73,4.96,4.61,,2.93,0.73,4.96,4.61,,2.54,0.58,5.48,3.44
,,3.24,0.86,5.26,4.5,,3.24,0.86,5.26,4.5,,2.52,0.7,5.36,3.46
,,2.6,0.84,5.71,4.41,,2.6,0.84,5.71,4.41,,2.67,0.66,5.42,3.43
,,2.39,0.82,5.16,4.36,,2.39,0.82,5.16,4.36,,2.72,0.62,5.5,3.44
,,2.77,0.75,6.08,4.34,,2.77,0.75,6.08,4.34,,2.1,0.71,5.42,3.48
,,2.72,0.69,5.61,4.43,,2.72,0.69,5.61,4.43,,2.59,0.64,5.52,3.47
,,2.34,0.7,4.5,4.51,,2.34,0.7,4.5,4.51,,2.53,0.82,5.44,3.53
,,2.62,0.74,6.08,4.49,,2.62,0.74,6.08,4.49,,2.67,0.82,5.5,3.52
,,3.02,0.72,5.46,4.48,,3.02,0.72,5.46,4.48,,2.14,0.77,5.58,3.53
,,1.96,0.75,4.96,4.45,,1.96,0.75,4.96,4.45,,2.61,0.68,5.5,3.57
,,1.48,0.75,5.96,4.44,,1.48,0.75,5.96,4.44,,2.28,0.65,5.39,3.59
,,3.47,0.86,5.96,4.39,,3.47,0.86,5.96,4.39,,2.61,0.6,5.52,3.54
,,2.71,1.12,5.51,4.41,,2.71,1.12,5.51,4.41,,2.64,0.58,5.63,3.54
,,2.42,1.02,5.39,4.36,,2.42,1.02,5.39,4.36,,2.38,0.57,5.17,3.63
,,2.71,0.9,3.97,4.43,,2.71,0.9,3.97,4.43,,2.16,0.68,5.32,3.68
,,2.3,0.81,5.39,4.36,,2.3,0.81,5.39,4.36,,2.55,0.62,5.47,3.64
,,2.83,0.73,5.99,4.26,,2.83,0.73,5.99,4.26,,2.66,0.58,5.66,3.71
,,2.53,0.7,6.7,4.3,,2.53,0.7,6.7,4.3,,2.55,0.58,5.82,3.81
,,2.34,0.65,5.4,4.44,,2.34,0.65,5.4,4.44,,2.6,0.59,5.69,3.91
,,2.49,0.7,5.06,4.4,,2.49,0.7,5.06,4.4,,2.89,0.63,5.63,3.93
,,2.35,0.75,5.39,4.51,,2.35,0.75,5.39,4.51,,2.41,0.69,5.37,3.95
,,2.8,0.78,5.31,4.44,,2.8,0.78,5.31,4.44,,2.52,0.63,5.49,3.95
,,2.58,0.67,4.39,4.5,,2.58,0.67,4.39,4.5,,2.65,0.67,4.9,4.01
,,3.14,0.67,5.48,4.49,,3.14,0.67,5.48,4.49,,2.7,0.65,6.14,4
,,2.92,0.76,5.89,4.49,,2.92,0.76,5.89,4.49,,1.75,0.75,4.56,4.26
,,2.76,0.71,4.55,4.62,,2.76,0.71,4.55,4.62,,2.24,0.76,5.74,4.3
