,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,2.53,0.06,5.47,3.18,,2.53,0.06,5.47,3.18,,2.74,0.25,5.48,3.69
,,2.37,0.07,5.46,3.18,,2.37,0.07,5.46,3.18,,2.4,0.33,5.46,3.67
,,2.48,0.07,5.47,3.18,,2.48,0.07,5.47,3.18,,2.46,0.32,5.43,3.67
,,2.51,0.07,5.46,3.18,,2.51,0.07,5.46,3.18,,2.53,0.31,5.45,3.69
,,2.48,0.06,5.47,3.18,,2.48,0.06,5.47,3.18,,2.51,0.28,5.48,3.68
,,2.5,0.07,5.47,3.18,,2.5,0.07,5.47,3.18,,2.46,0.24,5.46,3.66
,,2.5,0.06,5.45,3.18,,2.5,0.06,5.45,3.18,,2.71,0.25,5.49,3.65
,,2.54,0.06,5.47,3.17,,2.54,0.06,5.47,3.17,,2.51,0.3,5.49,3.63
,,2.47,0.06,5.44,3.18,,2.47,0.06,5.44,3.18,,2.24,0.38,5.52,3.64
,,2.53,0.06,5.52,3.18,,2.53,0.06,5.52,3.18,,2.57,0.37,5.46,3.63
,,2.65,0.06,5.48,3.17,,2.65,0.06,5.48,3.17,,2.39,0.34,5.51,3.63
,,2.58,0.06,5.47,3.17,,2.58,0.06,5.47,3.17,,2.45,0.31,5.49,3.61
,,2.48,0.06,5.46,3.18,,2.48,0.06,5.46,3.18,,2.72,0.3,5.44,3.59
,,2.48,0.06,5.48,3.18,,2.48,0.06,5.48,3.18,,2.42,0.37,5.47,3.56
,,2.52,0.06,5.44,3.17,,2.52,0.06,5.44,3.17,,2.33,0.35,5.46,3.55
,,2.75,0.07,5.48,3.17,,2.75,0.07,5.48,3.17,,2.52,0.35,5.48,3.55
,,2.52,0.06,5.47,3.17,,2.52,0.06,5.47,3.17,,2.48,0.3,5.46,3.54
,,2.49,0.05,5.47,3.17,,2.49,0.05,5.47,3.17,,2.58,0.31,5.46,3.52
,,2.48,0.05,5.46,3.18,,2.48,0.05,5.46,3.18,,3.08,0.31,5.5,3.51
,,2.48,0.06,5.43,3.17,,2.48,0.06,5.43,3.17,,2.08,0.4,5.46,3.49
,,2.59,0.06,5.47,3.18,,2.59,0.06,5.47,3.18,,2.62,0.44,5.45,3.47
,,2.53,0.06,5.47,3.18,,2.53,0.06,5.47,3.18,,2.88,0.42,5.48,3.47
,,2.49,0.06,5.48,3.17,,2.49,0.06,5.48,3.17,,2.67,0.48,5.48,3.46
,,2.51,0.06,5.44,3.17,,2.51,0.06,5.44,3.17,,2.59,0.43,5.48,3.44
,,2.51,0.07,5.47,3.17,,2.51,0.07,5.47,3.17,,2.61,0.49,5.45,3.41
,,2.56,0.06,5.45,3.16,,2.56,0.06,5.45,3.16,,2.81,0.54,5.46,3.41
,,2.59,0.07,5.42,3.17,,2.59,0.07,5.42,3.17,,2.52,0.52,5.46,3.38
,,2.58,0.07,5.5,3.18,,2.58,0.07,5.5,3.18,,2.49,0.48,5.46,3.38
,,2.54,0.06,5.44,3.18,,2.54,0.06,5.44,3.18,,2.48,0.43,5.46,3.37
,,2.48,0.07,5.45,3.18,,2.48,0.07,5.45,3.18,,2.57,0.39,5.46,3.35
,,2.7,0.07,5.49,3.18,,2.7,0.07,5.49,3.18,,2.35,0.35,5.48,3.32
,,2.49,0.06,5.46,3.17,,2.49,0.06,5.46,3.17,,2.63,0.33,5.5,3.31
,,2.44,0.06,5.43,3.17,,2.44,0.06,5.43,3.17,,2.54,0.28,5.47,3.29
,,2.46,0.06,5.41,3.17,,2.46,0.06,5.41,3.17,,2.54,0.25,5.51,3.28
,,2.5,0.06,5.47,3.17,,2.5,0.06,5.47,3.17,,2.59,0.31,5.53,3.27
,,2.44,0.07,5.45,3.17,,2.44,0.07,5.45,3.17,,2.57,0.34,5.47,3.24
,,2.63,0.07,5.49,3.17,,2.63,0.07,5.49,3.17,,2.37,0.37,5.47,3.24
,,2.49,0.06,5.45,3.18,,2.49,0.06,5.45,3.18,,2.39,0.42,5.48,3.23
,,2.67,0.06,5.49,3.19,,2.67,0.06,5.49,3.19,,2.57,0.39,5.46,3.22
,,2.45,0.06,5.51,3.19,,2.45,0.06,5.51,3.19,,2.52,0.34,5.44,3.21
,,2.52,0.06,5.44,3.19,,2.52,0.06,5.44,3.19,,2.78,0.32,5.44,3.21
,,2.48,0.06,5.47,3.19,,2.48,0.06,5.47,3.19,,1.75,0.64,5.35,3.23
,,2.64,0.06,5.48,3.19,,2.64,0.06,5.48,3.19,,2.46,0.73,5.49,3.26
,,2.58,0.06,5.46,3.19,,2.58,0.06,5.46,3.19,,2.54,0.78,5.52,3.26
,,2.54,0.06,5.43,3.19,,2.54,0.06,5.43,3.19,,2.65,0.8,5.6,3.3
,,2.49,0.06,5.46,3.19,,2.49,0.06,5.46,3.19,,2.85,0.84,4.94,3.48
,,2.5,0.06,5.49,3.19,,2.5,0.06,5.49,3.19,,1.54,0.88,5.48,3.55
,,2.55,0.06,5.45,3.18,,2.55,0.06,5.45,3.18,,2.64,0.9,5.74,3.65
,,2.61,0.07,5.45,3.19,,2.61,0.07,5.45,3.19,,3.2,1.07,5.78,3.82
,,2.45,0.06,5.45,3.18,,2.45,0.06,5.45,3.18,,3.02,1.26,5.75,3.86
,,2.46,0.06,5.45,3.18,,2.46,0.06,5.45,3.18,,1.83,1.12,5.39,3.79
,,2.66,0.06,5.46,3.19,,2.66,0.06,5.46,3.19,,2.35,1.2,5.33,3.94
,,2.49,0.06,5.48,3.2,,2.49,0.06,5.48,3.2,,3.31,1.26,5.66,3.93
