Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
1.48,1.56,1.75,1.64,51.82,182.38,64.77,114.88,S
1.3,1.8,1.11,1.84,58.84,173.78,51.82,182.38,S
1.02,1.45,0.86,1.33,117.46,114.25,58.84,173.78,
1.01,1.28,0.77,1.48,94.09,133.2,117.46,114.25,
1.15,1.37,0.82,1.83,68.67,159.09,94.09,133.2,
1.02,1.29,0.73,1.36,64.49,189.82,68.67,159.09,
0.87,1.23,0.78,1.11,126.98,200,64.49,189.82,
0.9,1.23,0.91,1.02,126.08,83.53,126.98,200,
0.86,1.22,0.85,1.06,52.07,200,126.08,83.53,
0.66,0.95,0.53,0.7,96.6,119.19,52.07,200,
0.46,0.84,0.21,0.29,44.22,43.66,96.6,119.19,
0.46,1.29,0.25,0.76,56.04,42.54,44.22,43.66,
0.5,1.65,0.25,1.22,76.4,184.66,56.04,42.54,
0.6,1.82,0.41,1.48,94.69,128.98,76.4,184.66,R
0.66,1.72,0.45,1.55,57.7,150.7,94.69,128.98,R
0.63,1.49,0.31,1.19,55.53,121.9,57.7,150.7,R
0.6,1.5,0.31,1.15,190.36,121.15,55.53,121.9,
0.57,1.63,0.32,1.46,69.45,95.6,190.36,121.15,
0.49,1.59,0.23,1.58,52.49,62.93,69.45,95.6,
0.36,1.46,0.15,1.26,120.63,73.91,52.49,62.93,
0.31,1.24,0.15,0.86,64.52,190.12,120.63,73.91,
0.86,1.12,1.52,0.99,87.9,190.97,64.52,190.12,
1.65,1.54,2.54,1.37,112.7,200,87.9,190.97,S
1.59,1.8,1.93,1.84,76.82,112.99,112.7,200,S
1.31,1.66,1.5,2,97.19,172.14,76.82,112.99,S
1.21,1.58,1.22,1.78,88.33,179.82,97.19,172.14,
1.04,1.53,1.24,1.83,126.19,127.36,88.33,179.82,
1.15,1.44,1.52,1.86,82.42,152.21,126.19,127.36,
1.29,1.48,1.53,1.77,119.46,200,82.42,152.21,
1.14,1.48,1.37,1.67,70.91,200,119.46,200,
0.92,1.33,0.95,1.17,73.38,142.72,70.91,200,
0.78,1.04,0.51,0.52,76.82,106.63,73.38,142.72,
0.62,0.79,0.47,0.3,66.25,92.52,76.82,106.63,
0.57,1.16,0.38,0.69,80.69,59.4,66.25,92.52,
0.58,1.73,0.31,1.15,42.92,55.83,80.69,59.4,R
0.52,1.76,0.27,1.21,45.6,75.78,42.92,55.83,R
0.44,1.59,0.22,1.34,32.86,89.26,45.6,75.78,R
0.5,1.59,0.23,1.3,26.31,200,32.86,89.26,
0.53,1.52,0.25,0.71,70.82,74.06,26.31,200,
0.45,1.37,0.22,0.73,104.6,82.89,70.82,74.06,
0.41,1.32,0.18,0.96,33.64,56.18,104.6,82.89,
0.42,1.39,0.17,1.09,81.31,113.16,33.64,56.18,
0.39,1.33,0.18,0.98,58.46,83.96,81.31,113.16,
0.58,1.02,0.98,0.5,85.07,69.93,58.46,83.96,
1.48,1.16,2.82,0.65,71.7,82.24,85.07,69.93,S
1.79,1.58,2.49,1.11,65.87,158.57,71.7,82.24,S
1.22,1.65,0.98,1.29,57.83,147.56,65.87,158.57,S
1.06,1.66,0.9,2.09,107.01,162.93,57.83,147.56,
1.09,1.66,0.89,2.23,67.55,122.36,107.01,162.93,
1.03,1.52,0.92,1.52,90.58,170.17,67.55,122.36,
1.01,1.4,1.04,1.39,58.86,200,90.58,170.17,
0.97,1.31,1.02,1.15,58.35,57.48,58.86,200,
0.86,1.23,0.74,1,79.09,188.85,58.35,57.48,
0.77,1.11,0.47,0.76,200,130.82,79.09,188.85,
0.79,0.67,0.61,0.2,32.88,71.84,200,130.82,
0.98,0.47,1.11,0.07,142.91,82.33,32.88,71.84,P
1.16,0.6,1.33,0.14,46.8,151.26,142.91,82.33,P
1.01,0.61,0.87,0.14,142.27,126.86,46.8,151.26,P
0.76,0.53,0.58,0.09,55.34,117.9,142.27,126.86,
0.79,0.45,0.73,0.06,75.86,72.44,55.34,117.9,
0.76,0.42,0.62,0.05,90.43,45.4,75.86,72.44,
0.63,0.42,0.39,0.07,84.49,131.78,90.43,45.4,
0.66,0.43,0.52,0.08,69.45,163.06,84.49,131.78,
0.7,0.42,0.51,0.06,119.3,96.78,69.45,163.06,
0.64,0.39,0.37,0.04,46.73,49.68,119.3,96.78,
0.65,0.33,0.57,0.02,70.65,143.76,46.73,49.68,
0.59,0.33,0.39,0.04,39.26,50.15,70.65,143.76,
0.42,0.83,0.13,0.39,86.52,40.06,39.26,50.15,
0.33,1.36,0.12,0.68,80.24,40.52,86.52,40.06,
0.35,1.35,0.13,0.62,40.63,115.02,80.24,40.52,
0.4,1.3,0.18,0.76,55.66,120.33,40.63,115.02,
0.42,1.36,0.18,1.06,48.95,74.19,55.66,120.33,
0.43,1.55,0.21,1.13,57.5,88.97,48.95,74.19,R
0.46,1.56,0.23,1.02,29.11,64.19,57.5,88.97,R
0.63,1.57,0.31,1.04,71.28,18.65,29.11,64.19,R
0.67,1.65,0.3,1.22,137.6,80.89,71.28,18.65,
0.45,1.47,0.16,1.22,182.99,39.13,137.6,80.89,
0.31,1.35,0.1,1.03,81.18,82.84,182.99,39.13,
0.53,1.19,0.56,0.71,92.09,65.26,81.18,82.84,
1.22,1.3,1.6,1.23,49.14,86.74,92.09,65.26,S
1.57,1.65,1.94,1.68,57.29,101.47,49.14,86.74,S
1.31,1.68,1.52,1.61,88.16,128.42,57.29,101.47,S
1.06,1.41,1.11,1.41,89.75,188.63,88.16,128.42,
0.92,1.3,0.72,1.25,101.25,157.86,89.75,188.63,
0.88,1.39,0.74,1.35,183.78,68.96,101.25,157.86,
0.85,1.28,0.75,0.92,63.26,166.43,183.78,68.96,
0.92,1.13,0.75,0.71,75.58,90.06,63.26,166.43,
0.94,1.1,0.84,0.73,70.47,197.16,75.58,90.06,
0.88,1.09,0.7,0.61,67.6,129.75,70.47,197.16,
0.69,0.92,0.47,0.54,80.13,195.58,67.6,129.75,
0.55,1.03,0.33,0.75,42.8,62.15,80.13,195.58,
0.46,1.48,0.26,1.14,122.27,69.79,42.8,62.15,R
0.32,1.54,0.13,0.97,64.17,90.04,122.27,69.79,R
0.31,1.41,0.17,0.68,96.9,133.99,64.17,90.04,
0.32,1.37,0.15,0.73,102.5,37.14,96.9,133.99,
0.29,1.35,0.1,0.76,80.41,75.51,102.5,37.14,
0.28,1.32,0.11,0.73,64.56,86.2,80.41,75.51,
0.34,1.23,0.14,0.66,58.96,137.83,64.56,86.2,
0.33,1.17,0.12,0.78,147.5,61.67,58.96,137.83,
0.26,1.26,0.08,0.91,50.91,129.23,147.5,61.67,
0.24,1.31,0.18,1.01,43.73,156.98,50.91,129.23,
0.83,1.13,1.16,0.79,75.48,179.18,43.73,156.98,S
1.49,1.33,1.87,1.04,65.56,178.84,75.48,179.18,S
1.33,1.61,1.34,1.34,92.69,100.79,65.56,178.84,S
1,1.45,0.83,1.07,146.28,89.63,92.69,100.79,
0.91,1.29,0.75,0.95,57.42,159.38,146.28,89.63,
0.87,1.24,0.74,0.82,81.81,178.92,57.42,159.38,
0.85,1.21,0.75,1.13,69.51,152.32,81.81,178.92,
0.83,1.15,0.83,1.31,99.28,200,69.51,152.32,
0.87,1.15,0.95,1.06,75.12,183.74,99.28,200,
0.94,1.17,0.95,0.83,88.86,140.91,75.12,183.74,
0.86,1.09,0.76,0.57,59.94,163.15,88.86,140.91,
0.83,0.87,0.79,0.41,59.78,167.16,59.94,163.15,
0.89,0.54,1.04,0.19,73.24,104.47,59.78,167.16,
1.06,0.45,1.36,0.07,72.55,52.38,73.24,104.47,P
1.27,0.59,1.45,0.12,64.36,89.11,72.55,52.38,P
1.17,0.61,1.02,0.12,81.56,56.68,64.36,89.11,P
0.98,0.59,0.75,0.12,125.68,74.6,81.56,56.68,
0.92,0.57,0.71,0.09,32.25,112.77,125.68,74.6,
0.89,0.5,0.69,0.08,37.17,116.41,32.25,112.77,
0.78,0.48,0.62,0.1,79.6,98.93,37.17,116.41,
0.65,0.46,0.59,0.09,81.58,109.74,79.6,98.93,
0.73,0.41,0.63,0.06,88.83,133.98,81.58,109.74,
0.63,0.42,0.33,0.07,38.15,41.83,88.83,133.98,
0.43,0.9,0.26,0.69,70.21,80.01,38.15,41.83,
0.41,1.57,0.28,1.43,154.26,58.43,70.21,80.01,R
0.41,1.7,0.19,1.36,122.58,52.21,154.26,58.43,R
0.43,1.62,0.23,1.07,24.96,50.41,122.58,52.21,
0.39,1.47,0.17,0.93,62.31,129.44,24.96,50.41,
0.34,1.34,0.16,0.92,82.62,69.36,62.31,129.44,
0.38,1.41,0.17,0.94,93.51,44.08,82.62,69.36,
0.4,1.42,0.19,0.93,57.25,120.72,93.51,44.08,
0.36,1.38,0.21,0.99,88.4,88.38,57.25,120.72,
0.37,1.32,0.16,0.91,48.77,200,88.4,88.38,
0.32,1.17,0.11,0.87,33.3,127.77,48.77,200,
0.7,0.96,1.18,0.6,44.57,101.42,33.3,127.77,
1.74,1.26,2.63,0.94,96.74,148.29,44.57,101.42,S
1.81,1.59,2.02,1.24,45.45,82.92,96.74,148.29,S
1.04,1.5,0.81,1.21,150.29,134.42,45.45,82.92,
0.83,1.38,0.69,1.4,100.33,176.03,150.29,134.42,
0.97,1.23,0.98,1.05,52.45,140.23,100.33,176.03,
1.06,1.21,0.95,1.04,51.5,155.36,52.45,140.23,
1.02,1.2,0.85,1.01,67.79,200,51.5,155.36,
0.99,1.21,0.92,1.16,45.43,163.8,67.79,200,
0.94,1.14,0.76,1.18,40.33,146,45.43,163.8,
0.92,1.08,0.95,0.88,61.47,54.71,40.33,146,
0.92,0.79,1.02,0.48,74.78,152.53,61.47,54.71,
0.96,0.41,0.88,0.05,32.91,165.39,74.78,152.53,
0.99,0.43,1.32,0.09,95.79,117.7,32.91,165.39,P
1.01,0.52,1.34,0.12,67.85,140.12,95.79,117.7,P
0.84,0.52,0.84,0.08,137.65,114.8,67.85,140.12,P
0.83,0.49,0.79,0.09,66.28,114.05,137.65,114.8,
0.96,0.51,0.95,0.09,40.47,118.14,66.28,114.05,
0.92,0.46,0.9,0.06,57.21,200,40.47,118.14,
0.87,0.39,0.81,0.04,128.48,120.93,57.21,200,
0.77,0.38,0.59,0.04,59.99,95.7,128.48,120.93,
0.71,0.34,0.36,0.03,74.31,134.67,59.99,95.7,
0.54,0.35,0.2,0.07,97.81,55.86,74.31,134.67,
0.34,0.8,0.13,0.39,70.61,64.76,97.81,55.86,
0.35,1.36,0.15,0.77,49.35,93.75,70.61,64.76,
0.36,1.38,0.16,0.8,87.96,75.71,49.35,93.75,
0.37,1.29,0.16,0.8,46.52,107.02,87.96,75.71,
0.41,1.38,0.16,0.85,49.2,93.49,46.52,107.02,R
0.43,1.48,0.17,0.91,59.78,74.82,49.2,93.49,R
0.45,1.47,0.18,0.93,95.66,61.99,59.78,74.82,R
0.41,1.28,0.18,0.8,29.23,81.21,95.66,61.99,
0.4,1.19,0.14,0.92,26.89,153.2,29.23,81.21,
0.37,1.22,0.09,0.77,189.9,36.79,26.89,153.2,
0.33,1.19,0.44,0.7,43.04,101.46,189.9,36.79,
1.4,1.07,2.39,0.63,39.54,64.95,43.04,101.46,P
2.4,0.91,3.44,0.19,38.99,82.82,39.54,64.95,P
1.95,0.75,2.3,0.1,90.62,97.4,38.99,82.82,P
1.24,0.57,1.25,0.09,63.51,133.16,90.62,97.4,
0.86,0.48,0.63,0.08,69.51,103.97,63.51,133.16,
