1,2,3,4
0.34,1.04,0.08,0.33
0.36,0.37,0.12,0.04
0.1,0.58,0.02,0.12
1.08,0.66,0.95,0.22
1.15,0.51,1.09,0.13
1.24,0.72,1.25,0.3
0.16,1.25,0.12,0.0
0.25,1.09,0.06,0.38
1.38,1.06,1.99,0.74
2.32,1.15,3.28,0.53
0.23,0.81,0.04,0.12
0.85,0.83,0.54,0.68
0.09,1.0,0.01,0.0
1.36,0.87,1.61,0.39
0.76,1.09,0.07,0.33
0.74,0.45,0.37,0.06
0.65,1.43,0.09,0.82
1.25,0.45,0.7,0.07
0.86,0.52,0.36,0.09
1.12,0.78,0.8,0.22
1.3,0.86,1.42,0.23
1.06,0.92,0.04,0.25
1.33,0.78,1.22,0.34
0.62,0.47,0.44,0.05
1.41,0.8,1.48,0.3
0.14,0.74,0.04,0.2
0.24,0.68,0.08,0.0
0.6,0.45,0.28,0.04
0.54,0.68,0.38,0.27
0.86,0.43,0.46,0.05
0.6,0.76,0.04,0.22
0.54,0.98,0.05,0.36
1.22,0.76,1.25,0.27
0.2,0.72,0.05,0.15
0.99,0.77,1.87,0.34
0.85,1.57,0.64,1.01
1.81,0.69,2.13,0.26
0.43,0.8,0.07,0.28
0.62,0.31,0.32,0.03
0.93,0.64,0.61,0.12
0.65,0.23,0.36,0.01
1.57,0.82,1.93,0.36
0.36,2.42,0.13,0.0
0.96,1.09,1.22,0.74
0.24,0.83,0.08,0.23
0.75,0.39,0.56,0.03
0.53,0.7,0.5,0.4
0.37,1.04,0.07,0.3
0.5,0.24,0.36,0.01
1.11,0.41,1.37,0.04
0.18,0.7,0.04,0.26
0.6,0.25,0.35,0.01
0.4,1.16,0.08,0.39
0.65,1.62,0.2,1.0
0.25,0.83,0.06,0.36
1.38,0.77,1.6,0.28
0.87,0.71,0.72,0.05
0.26,1.1,0.07,0.48
1.02,0.7,1.09,0.1
0.82,0.22,0.82,0.0
1.02,0.76,0.65,0.13
2.89,1.3,3.6,0.82
0.63,0.78,0.05,0.22
