Label,meanEE,meanEF,varRE,varRF
N,0.27797377354722763,0.23353766476965168,0.10997081923378763,0.13749457835101478
S,0.57425281235439,0.30705309203692593,0.7188950170239468,0.4939362000867465
S,0.9999999999999999,0.4296080640205989,1.0000000000000002,0.4799295684578231
S,0.6420155761166212,0.27747136190072125,0.3531961112751818,0.14412373362507405
N,0.21274046462091467,0.12986993987096399,0.049006336064974204,0.071325878841219
R,0.2783065965519538,0.4267991163518792,0.09249054484879181,0.3783782108600514
R,0.3082606669773015,0.5822129240852634,0.14388247798381026,0.4173015465649023
N,0.47680223657059184,0.44147294193378495,0.352212975596718,0.08584613001781873
P,0.8032350396059377,0.5006071423346452,0.576640483171013,0.00666468587324178
P,0.6368901018438395,0.42246865536260303,0.34521539719884436,0.008846486729293092
N,0.26173201091659465,0.22198001550773197,0.08431234432754171,0.12126863353644435
N,0.3436730346801572,0.24509531403157145,0.3376637018436237,0.32281955543462165
S,0.8000399387605673,0.44960718622445245,0.8089578242785513,0.5784853789054497
S,0.7718831125607404,0.4408438546954779,0.5706902308503282,0.416896078900418
N,0.3432736470744858,0.23148947376121023,0.08449967373747538,0.09857430659815035
N,0.2266524662184652,0.32636460725937405,0.06156752919314025,0.3450961729553111
R,0.19896159222525467,0.6179977469898909,0.08510997233161802,0.4125602214141011
N,0.34593623111229466,0.6161982648896172,0.18974743733367203,0.12437581816653678
P,0.7995739865539507,0.7039925094728836,0.7076521417285504,0.015621826244688327
P,0.8549557345403717,0.7127119511945345,0.7118693735869517,0.020511781176484473
N,0.4256806230446649,0.41411496203531667,0.1963751346709409,0.16377582328249332
N,0.32144045796445464,0.2857080157418109,0.28414111149791477,0.36373826878842075
S,0.6796911402516145,0.28531300747589716,0.5347055917244534,0.30862086461351906
S,0.6686414164947081,0.2546047722850497,0.4014375933897259,0.12702294618941354
N,0.43340211675431006,0.13801881409740613,0.2466706407999467,0.05496824031053292
N,0.3757571723357519,0.27700320395593464,0.17052931316857686,0.27597853209714585
R,0.31651467749450857,0.6539727590595878,0.11919443816575837,0.46154803503699376
R,0.41769287093123875,0.5500709551885068,0.2556066317498395,0.2136905104909435
P,0.7042534780003994,0.41645575175924976,0.5769880737504542,0.012496932534307129
P,0.7576382879584638,0.3962371805187775,0.5151820003178755,0.01654628240023815
N,0.4083072621979632,0.16460140739982151,0.1443301265288142,0.03884669474071237
N,0.2836983292285164,0.17501792167132385,0.22834320782744072,0.23317702024766293
S,0.7216268388471012,0.3836846956241862,0.7183816828821752,0.4609218222812275
S,0.7585701923716968,0.4249264845727327,0.6289713147458561,0.301312003917361
N,0.2886906742994077,0.20901789241145233,0.11465164841631365,0.07366959128848179
N,0.25867003927311455,0.2350152882828845,0.11303774539808976,0.19257404855155189
