Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
0.89,0.43,0.5700000000000001,0.03,Peace
0.46,1.55,0.18,0.75,Rock
1.02,0.46,1.0499999999999998,0.06,Paper
1.37,0.82,1.92,0.03,Pinch
2.0,0.6,1.02,0.09,Peace
3.16,0.65,0.72,0.12,Thumb
4.44,0.87,0.75,0.15000000000000002,Peace
1.08,0.33,1.23,0.03,Paper
1.5,1.05,0.8999999999999999,0.0,Paper
1.81,1.33,1.26,0.03,Paper
3.51,0.72,0.99,0.15000000000000002,Peace
0.82,1.31,0.24,0.72,Rock
1.55,0.42,1.6800000000000002,0.03,Pinch
1.94,0.66,0.78,0.09,Peace
1.52,1.14,1.7999999999999998,0.03,Paper
1.8,1.05,1.98,0.03,Paper
0.49,0.97,0.24,0.18,Rock
1.21,0.67,1.53,0.24,Paper
4.52,0.78,0.48,0.09,Handshake
2.49,0.82,0.8400000000000001,0.42000000000000004,Handshake
3.89,0.44,1.2000000000000002,0.03,Pinch
3.17,0.7,0.96,0.15000000000000002,Scissors
2.51,0.67,0.75,0.09,Thumb
1.97,1.87,0.36,1.7399999999999998,Rock
0.9,0.62,0.66,0.03,Paper
1.25,0.36,1.53,0.03,Pinch
0.59,1.69,0.30000000000000004,0.81,Rock
2.1,2.31,0.27,0.63,Rock
2.19,0.95,1.71,0.03,Paper
2.32,1.18,2.19,0.03,Paper
1.15,0.44,1.53,0.03,Pinch
1.81,1.76,0.33,1.3800000000000001,Rock
1.97,0.61,0.8999999999999999,0.39,Handshake
2.22,1.88,2.0999999999999996,0.03,Paper
2.71,0.46,0.42000000000000004,0.06,Thumb
3.64,0.63,1.08,0.12,Peace
0.35,0.55,0.24,0.06,Thumb
0.49,0.47,0.21000000000000002,0.03,Thumb
4.67,1.44,1.1099999999999999,0.51,Handshake
1.06,0.57,0.8999999999999999,0.03,Paper
1.63,0.88,0.5700000000000001,0.54,Handshake
0.35,0.67,0.24,0.03,Thumb
3.13,1.17,0.27,0.09,Thumb
1.37,0.96,0.78,0.6000000000000001,Handshake
0.89,0.29,1.1099999999999999,0.0,Paper
0.75,0.5,0.72,0.0,Paper
1.25,1.79,1.62,1.23,Rock
2.1,0.6,0.8699999999999999,0.06,Peace
1.24,1.07,0.78,0.5700000000000001,Handshake
2.07,0.47,0.51,0.06,Scissors
3.59,2.35,0.78,0.09,Peace
1.38,0.37,1.47,0.03,Paper
1.12,0.8,0.99,0.03,Paper
1.3,0.74,2.4899999999999998,0.09,Pinch
2.77,0.63,0.66,0.09,Peace
0.52,0.51,1.1099999999999999,0.09,Pinch
0.32,0.72,0.06,0.15000000000000002,Rock
2.08,0.69,0.51,0.12,Handshake
0.99,0.31,0.8999999999999999,0.0,Pinch
2.08,1.04,3.81,0.06,Pinch
1.98,0.81,0.36,0.03,Paper
3.65,0.74,2.04,0.15000000000000002,Peace
1.5,0.75,2.31,0.03,Pinch
1.97,0.7,1.0499999999999998,0.12,Thumb
4.22,0.6,0.5700000000000001,0.03,Scissors
2.52,1.1,0.8400000000000001,0.39,Peace
1.35,0.53,0.33,0.06,Handshake
2.79,2.09,0.18,0.09,Thumb
1.44,0.75,1.8900000000000001,0.15000000000000002,Scissors
1.05,0.91,0.30000000000000004,0.15000000000000002,Thumb
0.76,0.36,0.6900000000000001,0.0,Paper
3.36,1.32,1.7999999999999998,0.03,Paper
0.56,0.47,0.24,0.03,Thumb
3.2,0.68,0.30000000000000004,0.03,Thumb
0.62,0.54,0.42000000000000004,0.06,Handshake
1.03,0.91,0.8400000000000001,0.33,Rock
2.14,1.31,1.08,0.09,Scissors
0.44,0.75,0.15000000000000002,0.06,Rock
0.34,0.63,0.15000000000000002,0.06,Rock
1.71,0.84,2.7600000000000002,0.06,Pinch
1.4,0.61,0.66,0.03,Thumb
2.59,1.93,0.96,0.72,Peace
0.89,0.33,0.78,0.0,Paper
1.03,0.43,0.81,0.03,Paper
1.75,0.52,1.47,0.03,Pinch
0.94,0.62,0.8999999999999999,0.03,Scissors
0.46,1.73,0.24,0.72,Rock
1.46,0.63,0.42000000000000004,0.09,Rock
1.63,1.39,2.13,0.03,Paper
3.79,1.14,2.07,0.09,Pinch
1.02,0.78,1.1400000000000001,0.03,Scissors
1.61,1.67,1.08,0.06,Scissors
1.04,0.46,1.26,0.03,Scissors
1.12,0.52,1.44,0.06,Scissors
1.74,0.79,0.51,0.0,Paper
1.33,0.84,1.17,0.03,Pinch
1.13,1.16,0.18,0.48,Rock
1.15,0.42,1.08,0.03,Paper
1.14,0.4,1.1099999999999999,0.03,Scissors
2.62,0.75,1.35,0.03,Pinch
0.73,1.77,0.30000000000000004,0.9299999999999999,Rock
1.11,0.67,0.33,0.18,Thumb
3.99,1.93,0.99,1.32,Handshake
1.03,0.73,1.26,0.12,Peace
1.0,1.49,1.56,1.1400000000000001,Rock
0.49,1.64,0.18,0.51,Rock
1.88,0.53,0.39,0.06,Thumb
4.07,1.84,1.2000000000000002,0.09,Scissors
0.64,0.79,0.30000000000000004,0.12,Thumb
2.02,0.56,1.41,0.03,Pinch
1.01,0.76,0.24,0.30000000000000004,Handshake
1.29,0.5,1.1099999999999999,0.03,Scissors
1.23,0.39,1.62,0.03,Pinch
2.95,1.27,0.75,0.03,Paper
3.37,0.65,0.6900000000000001,0.06,Peace
2.04,0.88,0.75,0.39,Peace
4.53,0.8,1.5,0.15000000000000002,Rock
1.08,0.96,0.6000000000000001,0.18,Thumb
0.37,1.29,0.15000000000000002,0.6000000000000001,Rock
0.66,0.42,0.63,0.03,Handshake
1.11,0.6,1.1400000000000001,0.03,Scissors
0.78,1.06,0.8999999999999999,0.09,Thumb
