Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
1.67,2.2,1.7999999999999998,0.03,Paper
0.44,0.73,0.27,0.12,Thumb
0.66,0.68,0.24,0.03,Thumb
0.74,0.85,0.39,0.15000000000000002,Thumb
1.15,0.47,0.6000000000000001,0.03,Peace
3.39,0.66,0.81,0.06,Peace
4.01,0.67,0.75,0.06,Peace
2.03,1.12,2.4000000000000004,0.03,Paper
1.03,0.3,1.17,0.0,Paper
2.47,0.66,0.54,0.12,Peace
3.43,0.59,0.8999999999999999,0.09,Peace
1.53,0.46,0.6000000000000001,0.03,Thumb
4.14,0.94,1.08,0.12,Peace
4.49,1.63,0.8999999999999999,0.12,Peace
4.45,0.97,0.6900000000000001,0.12,Peace
0.64,0.84,0.33,0.18,Thumb
3.51,0.72,0.99,0.15000000000000002,Peace
1.66,0.74,0.9299999999999999,0.03,Paper
0.61,0.78,0.15000000000000002,0.15000000000000002,Thumb
0.76,0.52,0.30000000000000004,0.03,Thumb
4.36,1.15,1.77,0.03,Paper
3.64,0.63,1.08,0.12,Peace
1.34,0.35,1.3800000000000001,0.0,Paper
1.11,0.54,1.1400000000000001,0.03,Paper
3.93,0.45,0.42000000000000004,0.03,Thumb
0.77,0.76,0.21000000000000002,0.09,Thumb
2.89,0.91,1.2000000000000002,0.09,Peace
3.34,0.58,0.51,0.09,Peace
0.64,0.79,0.30000000000000004,0.12,Thumb
2.21,1.36,2.73,0.03,Paper
2.51,0.67,0.75,0.09,Thumb
0.97,0.73,0.9299999999999999,0.09,Thumb
2.55,0.73,0.72,0.09,Peace
0.49,0.47,0.21000000000000002,0.03,Thumb
2.32,1.18,2.19,0.03,Paper
1.3,1.64,1.44,0.03,Paper
1.89,1.33,1.08,0.0,Paper
1.57,1.36,1.1400000000000001,0.12,Paper
0.44,0.37,0.24,0.03,Thumb
3.86,0.7,0.8400000000000001,0.09,Peace
0.28,0.63,0.24,0.06,Thumb
1.63,0.93,2.4000000000000004,0.03,Paper
1.66,0.59,2.52,0.03,Paper
2.59,1.93,0.96,0.72,Peace
1.5,0.61,0.81,0.0,Paper
1.77,0.52,0.8400000000000001,0.09,Peace
0.25,0.48,0.15000000000000002,0.03,Thumb
0.58,0.46,0.21000000000000002,0.03,Thumb
1.08,0.33,1.23,0.03,Paper
