Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
4.53,0.8,1.5,0.15000000000000002,Rock
1.23,0.7,1.1099999999999999,0.09,Scissors
1.63,1.39,2.13,0.03,Paper
0.7,0.96,0.09,0.09,Rock
1.49,0.94,1.3800000000000001,0.06,Scissors
2.32,1.18,2.19,0.03,Paper
0.76,0.36,0.6900000000000001,0.0,Paper
4.28,1.76,1.2000000000000002,0.03,Paper
2.69,0.51,1.29,0.06,Paper
1.31,0.64,0.27,0.03,Scissors
3.59,1.95,1.6500000000000001,0.03,Paper
1.73,1.02,1.7399999999999998,0.03,Paper
1.67,2.2,1.7999999999999998,0.03,Paper
2.36,1.42,1.6500000000000001,0.8699999999999999,Rock
0.85,0.77,0.21000000000000002,0.12,Rock
2.28,1.14,1.1099999999999999,0.03,Paper
2.52,1.47,1.41,0.03,Scissors
1.67,0.58,1.1099999999999999,0.0,Paper
1.02,0.55,0.9299999999999999,0.06,Scissors
1.38,0.37,1.47,0.03,Paper
0.2,0.6,0.09,0.06,Rock
1.87,0.81,0.44999999999999996,0.15000000000000002,Rock
1.07,0.73,0.39,0.15000000000000002,Rock
1.5,1.05,0.8999999999999999,0.0,Paper
4.22,0.6,0.5700000000000001,0.03,Scissors
1.46,1.14,0.8999999999999999,0.03,Paper
1.25,0.93,0.96,0.06,Scissors
0.94,0.63,0.33,0.12,Rock
1.19,0.96,1.08,0.12,Scissors
2.49,1.39,1.62,0.81,Rock
0.32,0.66,0.18,0.09,Rock
2.95,1.27,0.75,0.03,Paper
2.14,1.17,0.21000000000000002,0.30000000000000004,Rock
1.77,1.22,0.78,0.39,Rock
1.15,0.39,1.7399999999999998,0.03,Paper
1.93,3.16,0.33,0.42000000000000004,Rock
3.0,0.88,1.0499999999999998,0.03,Paper
3.62,0.95,1.17,0.03,Scissors
0.29,1.34,0.06,0.39,Rock
1.03,0.91,0.8400000000000001,0.33,Rock
1.29,0.5,1.1099999999999999,0.03,Scissors
1.25,1.18,1.29,0.09,Scissors
1.89,1.33,1.08,0.0,Paper
3.57,1.63,2.37,0.03,Paper
1.4,1.4,1.1400000000000001,0.03,Paper
1.02,2.17,0.36,0.6900000000000001,Rock
1.41,3.51,0.36,0.51,Rock
1.21,1.06,1.56,0.03,Scissors
1.58,0.6,1.77,0.03,Paper
4.75,0.81,1.59,0.09,Scissors
2.03,0.72,3.09,0.03,Paper
1.82,0.48,0.99,0.03,Paper
1.64,2.18,0.36,2.19,Rock
1.66,0.59,2.52,0.03,Paper
